Cluster Num,Representative,Member,RFAM family,Organism,Location,Length
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","hsa_ires_00604.1|Homo sapiens (human)|chr6:31,815,541-31,815,756+",RF00495,Homo sapiens (human),"chr6:31,815,541-31,815,756+",216
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","GL000251.2:3292792-3293011 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_2.",RF00495,Homo sapiens (human),,220
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.",hsp70|Homo sapiens,RF00495,Homo sapiens (human),,193
88,MNT_75-267|Homo sapiens,MNT_75-267|Homo sapiens,RF00457,Homo sapiens (human),,193
88,MNT_75-267|Homo sapiens,MNT_75-267|Homo sapiens,RF00457,Homo sapiens (human),,193
88,MNT_75-267|Homo sapiens,mouse_CM000679.2:2400912-2400710 | chr11:74721955-74722157(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr11:74721955-74722157+,203
88,MNT_75-267|Homo sapiens,mouse_hsa_ires_00608.1 | chr11:74721955-74722157(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr11:74721955-74722157+,203
88,MNT_75-267|Homo sapiens,mouse_MNT_75-267 | chr11:74721955-74722157(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr11:74721955-74722157+,203
88,MNT_75-267|Homo sapiens,"CM000679.2:2400912-2400710 Homo sapiens IRES_mnt Homo sapiens chromosome 17, GRCh38 reference primary assembly.",RF00457,Homo sapiens (human),,203
111,mouse_hsa_ires_00065.1 | chr7:126359360-126359480(-) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00065.1 | chr7:126359360-126359480(-) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr7:126359360-126359480-,121
112,mouse_CM000673.2:30012935-30012676 | chr2:106749136-106749252(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_CM000673.2:30012935-30012676 | chr2:106749136-106749252(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr2:106749136-106749252-,117
113,"DQ279927.1:55269-55485 Epstein-Barr virus (strain AG876) IRES_EBNA Human herpesvirus 4 strain AG876, complete genome.","DQ279927.1:55269-55485 Epstein-Barr virus (strain AG876) IRES_EBNA Human herpesvirus 4 strain AG876, complete genome.",RF00448,Virus,,217
114,ERAV_245-961|Equine rhinitis A virus 1,ERAV_245-961|Equine rhinitis A virus 1,RF00210,Equine rhinitis A virus 1,,712
114,ERAV_245-961|Equine rhinitis A virus 1,vir_ires_00500.1,RF00210,Virus,,717
115,TMEV|Theiler\'s encephalomyelitis virus,TMEV|Theiler\'s encephalomyelitis virus,RF00210,Theiler\'s encephalomyelitis virus,,1040
119,vir_ires_00037.1,vir_ires_00037.1,RF00229,Human poliovirus 3,,174
125,vir_ires_00245.1,DCV_IGR|Drosophila C virus,RF00458,Drosophila C virus,,189
151,mouse_hsa_ires_00526.1 | chr7:143344721-143344951(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00526.1 | chr7:143344721-143344951(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr7:143344721-143344951-,231
152,mouse_hsa_ires_00227.1 | chr3:87822002-87822189(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00227.1 | chr3:87822002-87822189(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr3:87822002-87822189+,188
152,mouse_hsa_ires_00227.1 | chr3:87822002-87822189(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00437.1 | chr3:87822002-87822189(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr3:87822002-87822189+,188
152,mouse_hsa_ires_00227.1 | chr3:87822002-87822189(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00384.1 | chr3:87822002-87822189(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr3:87822002-87822189+,188
189,"CM001006.3:58956225-58956532 Mus musculus IRES_TrkB CM001006.3 Mus musculus chromosome 13, GRCm39 reference primary assembly C57BL/6J","CM001006.3:58956225-58956532 Mus musculus IRES_TrkB CM001006.3 Mus musculus chromosome 13, GRCm39 reference primary assembly C57BL/6J",RF00547,Mus musculus (mouse),,308
189,"CM001006.3:58956225-58956532 Mus musculus IRES_TrkB CM001006.3 Mus musculus chromosome 13, GRCm39 reference primary assembly C57BL/6J",mmu_ires_00029.1|Mus musculus (house mouse),RF00547,Mus musculus (mouse),,344
189,"CM001006.3:58956225-58956532 Mus musculus IRES_TrkB CM001006.3 Mus musculus chromosome 13, GRCm39 reference primary assembly C57BL/6J",mouse_hsa_ires_00640.1 | chr13:58956225-58956532(+) | RF00547 | IRES_TrkB | IRES,RF00547,chr13:58956225-58956532(+),chr13:58956225-58956532+,308
189,"CM001006.3:58956225-58956532 Mus musculus IRES_TrkB CM001006.3 Mus musculus chromosome 13, GRCm39 reference primary assembly C57BL/6J",mouse_CM000671.2:84670396-84670748 | chr13:58956225-58956532(+) | RF00547 | IRES_TrkB | IRES,RF00547,chr13:58956225-58956532(+),chr13:58956225-58956532+,308
191,mouse_hsa_ires_00588.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00588.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr2:34662106-34662369+,264
191,mouse_hsa_ires_00588.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00597.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr2:34662106-34662369+,264
191,mouse_hsa_ires_00588.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_CM000671.2:125241341-125241094 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr2:34662106-34662369+,264
191,mouse_hsa_ires_00588.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00315.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr2:34662106-34662369+,264
191,mouse_hsa_ires_00588.1 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_BiP_-222_-3 | chr2:34662106-34662369(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr2:34662106-34662369+,264
192,mouse_hsa_ires_00047.1 | chr4:116860349-116860452(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00047.1 | chr4:116860349-116860452(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr4:116860349-116860452+,104
193,mouse_hsa_ires_00227.1 | chr3:88126356-88126471(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00227.1 | chr3:88126356-88126471(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr3:88126356-88126471-,116
193,mouse_hsa_ires_00227.1 | chr3:88126356-88126471(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00384.1 | chr3:87952513-87952628(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr3:87952513-87952628-,116
194,mouse_hsa_ires_00049.1 | chr1:133282574-133282694(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00049.1 | chr1:133282574-133282694(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr1:133282574-133282694-,121
195,"KX883663.1:6128-6306 Shahe picorna-like virus 11 IRES_Cripavirus Shahe picorna-like virus 11 strain SHWC13613 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883663.1:6128-6306 Shahe picorna-like virus 11 IRES_Cripavirus Shahe picorna-like virus 11 strain SHWC13613 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,179
229,"hsa_ires_00597.1|Homo sapiens (human)|chr9:125,241,127-125,241,220-","hsa_ires_00597.1|Homo sapiens (human)|chr9:125,241,127-125,241,220-",RF00223,Homo sapiens (human),"chr9:125,241,127-125,241,220-",94
233,mouse_hsa_ires_00352.1 | chr14:65411372-65411567(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00352.1 | chr14:65411372-65411567(+) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr14:65411372-65411567+,196
234,mouse_hsa_ires_00653.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00653.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr2:172180647-172180801+,155
234,mouse_hsa_ires_00653.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00303.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr2:172180647-172180801+,155
234,mouse_hsa_ires_00653.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00188.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr2:172180647-172180801+,155
234,mouse_hsa_ires_00653.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00614.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr2:172180647-172180801+,155
234,mouse_hsa_ires_00653.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00605.1 | chr2:172180647-172180801(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr2:172180647-172180801+,155
235,mouse_hsa_ires_00686.1 | chr4:154040483-154040638(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00686.1 | chr4:154040483-154040638(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr4:154040483-154040638+,156
236,"KX883934.1:6306-6467 Hubei picorna-like virus 14 IRES_Cripavirus Hubei picorna-like virus 14 strain QTM26191 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883934.1:6306-6467 Hubei picorna-like virus 14 IRES_Cripavirus Hubei picorna-like virus 14 strain QTM26191 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,162
275,"hsa_ires_00598.1|Homo sapiens (human)|chr8:127,736,244-127,736,610+","hsa_ires_00598.1|Homo sapiens (human)|chr8:127,736,244-127,736,610+",RF00216,Homo sapiens (human),"chr8:127,736,244-127,736,610+",367
275,"hsa_ires_00598.1|Homo sapiens (human)|chr8:127,736,244-127,736,610+",c-myc|Homo sapiens,RF00216,Homo sapiens (human),,393
279,mouse_hsa_ires_00653.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00653.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr2:171160497-171160675+,179
279,mouse_hsa_ires_00653.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00303.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr2:171160497-171160675+,179
279,mouse_hsa_ires_00653.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00614.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr2:171160497-171160675+,179
279,mouse_hsa_ires_00653.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00605.1 | chr2:171160497-171160675(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr2:171160497-171160675+,179
280,mouse_hsa_ires_00666.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00666.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr2:166101276-166101567+,292
280,mouse_hsa_ires_00666.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00669.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr2:166101276-166101567+,292
280,mouse_hsa_ires_00666.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00667.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr2:166101276-166101567+,292
280,mouse_hsa_ires_00666.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00665.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr2:166101276-166101567+,292
280,mouse_hsa_ires_00666.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00668.1 | chr2:166101276-166101567(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr2:166101276-166101567+,292
281,"KX883972.1:5630-5823 Hubei picorna-like virus 16 IRES_Cripavirus Hubei picorna-like virus 16 strain SCM51353 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883972.1:5630-5823 Hubei picorna-like virus 16 IRES_Cripavirus Hubei picorna-like virus 16 strain SCM51353 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,194
282,FMDV_type_C|Foot-and-mouth disease virus,FMDV_type_C|Foot-and-mouth disease virus,RF00210,Foot-and-mouth disease virus,,461
287,vir_ires_00502.1,vir_ires_00502.1,RF00229,Canine picodicistrovirus,,642
296,vir_ires_00511.1,vir_ires_00511.1,RF00448,Human gammaherpesvirus 4,,144
297,vir_ires_00543.1,vir_ires_00543.1,RF02340,Dengue virus 2,,96
322,mouse_hsa_ires_00561.1 | chr3:65942197-65942297(+) | RF00447 | IRES_Kv1_4 | potassium-channel Kv1.4 IRES,mouse_hsa_ires_00561.1 | chr3:65942197-65942297(+) | RF00447 | IRES_Kv1_4 | potassium-channel Kv1.4 IRES,RF00447,Mus musculus (mouse),chr3:65942197-65942297+,101
323,mouse_hsa_ires_00125.1 | chr8:107058266-107058371(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00125.1 | chr8:107058266-107058371(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr8:107058266-107058371-,106
324,"KX883381.1:6466-6659 Beihai picorna-like virus 75 IRES_Cripavirus Beihai picorna-like virus 75 strain BHJP52955 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883381.1:6466-6659 Beihai picorna-like virus 75 IRES_Cripavirus Beihai picorna-like virus 75 strain BHJP52955 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,194
339,vir_ires_00512.1,vir_ires_00512.1,RF00511,Human gammaherpesvirus 8,,232
340,vir_ires_00544.1,vir_ires_00544.1,RF02340,Zika virus,,107
364,"CM001013.3:159687117-159686931 Mus musculus IRES_Cx43 CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J","CM001013.3:159687117-159686931 Mus musculus IRES_Cx43 CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J",RF00487,Mus musculus (mouse),,187
366,mouse_hsa_ires_00672.1 | chr17:44116009-44116158(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00672.1 | chr17:44116009-44116158(+) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr17:44116009-44116158+,150
367,mouse_hsa_ires_00625.1 | chr9:73334709-73334888(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00625.1 | chr9:73334709-73334888(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr9:73334709-73334888-,180
368,mouse_CM000685.2:71223206-71223356 | chrX:100427320-100427468(+) | RF00484 | IRES_Cx32 | internal ribosome entry site (IRES),mouse_CM000685.2:71223206-71223356 | chrX:100427320-100427468(+) | RF00484 | IRES_Cx32 | internal ribosome entry site (IRES),RF00484,Mus musculus (mouse),chrX:100427320-100427468+,149
368,mouse_CM000685.2:71223206-71223356 | chrX:100427320-100427468(+) | RF00484 | IRES_Cx32 | internal ribosome entry site (IRES),"CM001013.3:100427320-100427468 Mus musculus IRES_Cx32 CM001013.3 Mus musculus chromosome X, GRCm39 reference primary assembly C57BL/6J",RF00484,Mus musculus (mouse),,149
368,mouse_CM000685.2:71223206-71223356 | chrX:100427320-100427468(+) | RF00484 | IRES_Cx32 | internal ribosome entry site (IRES),mmu_ires_00013.1|Mus musculus (house mouse),RF00484,Mus musculus (mouse),,127
368,mouse_CM000685.2:71223206-71223356 | chrX:100427320-100427468(+) | RF00484 | IRES_Cx32 | internal ribosome entry site (IRES),"CM000685.2:71223206-71223356 Homo sapiens IRES_Cx32 Homo sapiens chromosome X, GRCh38 reference primary assembly.",RF00484,Homo sapiens (human),,151
369,mouse_hsa_ires_00344.1 | chr12:16818954-16819123(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00344.1 | chr12:16818954-16819123(-) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr12:16818954-16819123-,170
370,"KX884478.1:5388-5567 Beihai picorna-like virus 80 IRES_Cripavirus Beihai picorna-like virus 80 strain BHZC36213 hypothetical protein 2 genes, complete cds.","KX884478.1:5388-5567 Beihai picorna-like virus 80 IRES_Cripavirus Beihai picorna-like virus 80 strain BHZC36213 hypothetical protein 2 genes, complete cds.",RF00458,Virus,,180
407,"hsa_ires_00601.1|Homo sapiens (human)|chr5:142,697,635-142,697,753-","hsa_ires_00601.1|Homo sapiens (human)|chr5:142,697,635-142,697,753-",RF00387,Homo sapiens (human),"chr5:142,697,635-142,697,753-",119
411,mouse_hsa_ires_00513.1 | chr15:82872153-82872259(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00513.1 | chr15:82872153-82872259(+) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr15:82872153-82872259+,107
412,mouse_hsa_ires_00471.1 | chr13:56456621-56456816(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00471.1 | chr13:56456621-56456816(+) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr13:56456621-56456816+,196
413,mouse_hsa_ires_00173.1 | chr11:86784617-86784848(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,mouse_hsa_ires_00173.1 | chr11:86784617-86784848(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A,RF00461,Mus musculus (mouse),chr11:86784617-86784848+,232
414,"KX883372.1:6126-6317 Beihai picorna-like virus 91 IRES_Cripavirus Beihai picorna-like virus 91 strain BHJJX25930 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX883372.1:6126-6317 Beihai picorna-like virus 91 IRES_Cripavirus Beihai picorna-like virus 91 strain BHJJX25930 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,192
416,vir_ires_00343.1,vir_ires_00343.1,RF00458,Homalodisca coagulata virus-1 (HoCV-1),,174
416,vir_ires_00343.1,HoCV1_IGRpred|Homalodisca coagulata virus-1,RF00458,Homalodisca coagulata virus-1,,188
431,vir_ires_00514.1,vir_ires_00514.1,RF00458,Himetobi P virus (HiPV),,177
431,vir_ires_00514.1,HiPV_IGRpred|Himetobi P virus,RF00458,Himetobi P virus,,188
455,"CM001011.3:39062328-39062167 Mus musculus IRES_FGF1 CM001011.3 Mus musculus chromosome 18, GRCm39 reference primary assembly C57BL/6J","CM001011.3:39062328-39062167 Mus musculus IRES_FGF1 CM001011.3 Mus musculus chromosome 18, GRCm39 reference primary assembly C57BL/6J",RF00387,Mus musculus (mouse),,162
455,"CM001011.3:39062328-39062167 Mus musculus IRES_FGF1 CM001011.3 Mus musculus chromosome 18, GRCm39 reference primary assembly C57BL/6J",mouse_hsa_ires_00510.1 | chr18:37942355-37942516(-) | RF00387 | IRES_FGF1 | internal ribosome entry site (IRES),RF00387,chr18:37942355-37942516(-),chr18:37942355-37942516-,162
455,"CM001011.3:39062328-39062167 Mus musculus IRES_FGF1 CM001011.3 Mus musculus chromosome 18, GRCm39 reference primary assembly C57BL/6J",mouse_CM000667.2:142697800-142697634 | chr18:37942355-37942516(-) | RF00387 | IRES_FGF1 | internal ribosome entry site (IRES),RF00387,chr18:37942355-37942516(-),chr18:37942355-37942516-,162
455,"CM001011.3:39062328-39062167 Mus musculus IRES_FGF1 CM001011.3 Mus musculus chromosome 18, GRCm39 reference primary assembly C57BL/6J",mouse_hsa_ires_00317.1 | chr18:38786795-38786956(-) | RF00387 | IRES_FGF1 | internal ribosome entry site (IRES),RF00387,chr18:38786795-38786956(-),chr18:38786795-38786956-,162
456,mouse_hsa_ires_00068.1 | chr12:118308897-118309053(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00068.1 | chr12:118308897-118309053(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr12:118308897-118309053-,157
457,mouse_hsa_ires_00612.1 | chr15:78640294-78640461(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00612.1 | chr15:78640294-78640461(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr15:78640294-78640461-,168
457,mouse_hsa_ires_00612.1 | chr15:78640294-78640461(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_CM000684.2:39244768-39244141 | chr15:78640294-78640461(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr15:78640294-78640461-,168
457,mouse_hsa_ires_00612.1 | chr15:78640294-78640461(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_hsa_ires_00200.1 | chr15:79892560-79892727(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr15:79892560-79892727-,168
457,mouse_hsa_ires_00612.1 | chr15:78640294-78640461(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_PDGF2/c-sis | chr15:78640294-78640461(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr15:78640294-78640461-,168
