Num	IRES	RFAM	Organism	Location	Length
14	CM000679.2:2400912-2400710 Homo sapiens IRES_mnt Homo sapiens chromosome 17, GRCh38 reference primary assembly.	RF00457	Homo sapiens (human)		203
15	KX884554.1:5201-5348 Changjiang picorna-like virus 11 IRES_Cripavirus Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.	RF00458	Changjiang picorna-like virus 11		148
16	mouse_hsa_ires_00042.1 | chr9:77297295-77297424(+) | RF00461 | IRES_VEGF_A | endothelial growth factor (VEGF) IRES A	RF00461	Mus musculus (mouse)	chr9:77297295-77297424+	130
17	CM000673.2:2141059-2140939 Homo sapiens IRES_IGF2 Homo sapiens chromosome 11, GRCh38 reference primary assembly.	RF00483	Homo sapiens (human)		121
18	CM000685.2:71223206-71223356 Homo sapiens IRES_Cx32 Homo sapiens chromosome X, GRCh38 reference primary assembly.	RF00484	Homo sapiens (human)		151
19	CM000667.2:109052656-109052458 Homo sapiens IRES_Cx43 Homo sapiens chromosome 5, GRCh38 reference primary assembly.	RF00487	Homo sapiens (human)		199
20	hsp70|Homo sapiens	RF00495	Homo sapiens (human)		193
21	vir_ires_00512.1	RF00511	Human gammaherpesvirus 8		232
22	CM001006.3:58956225-58956532 Mus musculus IRES_TrkB CM001006.3 Mus musculus chromosome 13, GRCm39 reference primary assembly C57BL/6J	RF00547	Mus musculus (mouse)		308
23	mouse_hsa_ires_00200.1 | chr15:79868434-79869040(-) | RF00549 | IRES_c-sis | internal ribosome entry site (IRES)	RF00549	Mus musculus (mouse)	chr15:79868434-79869040-	607
24	CM000664.2:177264659-177264532 Homo sapiens NRF2_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.	RF02531	Homo sapiens (human)		128
25	CM000664.2:10445264-10445145 Homo sapiens ODC_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.	RF02535	Homo sapiens (human)		120
26	vir_ires_00269.1		Modoc virus (MODV)		174
27	vir_ires_00251.1		Aichi virus 1 (AiV-1)		174
28	vir_ires_00225.1		Human immunodeficiency virus 2 (HIV-2)		174
29	vir_ires_00319.1		Human coronavirus HKU1 (HCoV-HKU1)		174
30	vir_ires_00323.1		Influenza A virus (A/New York/392/2004(H3N2))		174
31	vir_ires_00044.1		Human parvovirus B19		174
32	vir_ires_00280.1		Human erythrovirus V9 (HEV-V9)		174
33	vir_ires_00332.1		Human gammaherpesvirus 4 (Epstein-Barr virus)		174
34	vir_ires_00172.1		Marburg marburgvirus		174
35	vir_ires_00291.1		Human papillomavirus type 96 (HPV96)		174
36	vir_ires_00135.1		Human T-lymphotropic virus 2 (HTLV-2)		174
37	vir_ires_00019.1		Human adenovirus 5 (HAdV5)		174
38	vir_ires_00099.1		Alphapapillomavirus 7		174
39	vir_ires_00146.1		Human papillomavirus type 16 (HPV16)		174
40	vir_ires_00162.1		Human papillomavirus type 49 (HPV49)		174
41	vir_ires_00200.1		Human papillomavirus type 60 (HPV60)		174
42	vir_ires_00418.1		Lloviu cuevavirus		174
43	vir_ires_00347.1		Human papillomavirus type 101 (HPV101)		174
44	vir_ires_00296.1		Human coronavirus NL63 (HCoV-NL63)		174
45	vir_ires_00268.1		Human respirovirus 1 (HPIV-1)		174
46	vir_ires_00414.1		Bundibugyo ebolavirus		174
47	vir_ires_00168.1		Human papillomavirus type 7 (HPV7)		174
48	vir_ires_00161.1		Human papillomavirus type 34 (HPV34)		174
49	vir_ires_00367.1		Human papillomavirus type 88 (HPV88)		174
50	vir_ires_00117.1		Human papillomavirus type 63 (HPV63)		174
51	vir_ires_00193.1		Human papillomavirus type 50 (HPV50)		174
52	vir_ires_00404.1		Human papillomavirus type 108 (HPV108)		174
53	vir_ires_00234.1		Human immunodeficiency virus 1 (HIV-1)		174
54	vir_ires_00230.1		Human alphaherpesvirus 2 (Herpes simplex virus 2, HHV-2)		174
55	vir_ires_00092.1		Human papillomavirus type 41 (HPV4)		174
56	vir_ires_00405.1		Human bocavirus 4 NI (HBoV4-NI)		174
57	vir_ires_00153.1		Rabies lyssavirus		174
58	vir_ires_00125.1		Human mastadenovirus A		174
59	vir_ires_00361.1		Human herpesvirus 4 type 2 (Epstein-Barr virus type 2)		174
60	vir_ires_00139.1		Spleen focus-forming virus (SFFV)		174
61	hsa_ires_00270.1|Homo sapiens (human)|chr19:55,385,932-55,386,620+		Homo sapiens (human)	chr19:55,385,932-55,386,620+	174
62	hsa_ires_00409.1|Homo sapiens (human)|chr1:153,668,552-153,670,963-		Homo sapiens (human)	chr1:153,668,552-153,670,963-	174
63	vir_ires_00317.1		Sudan ebolavirus		174
64	hsa_ires_00155.1|Homo sapiens (human)|chr3:71,198,382-71,493,432-		Homo sapiens (human)	chr3:71,198,382-71,493,432-	174
65	vir_ires_00170.1		Human papillomavirus type 9 (HPV9)		174
66	vir_ires_00412.1		Tai Forest ebolavirus		174
67	hsa_ires_00265.1|Homo sapiens (human)|chr17:82,449,255-82,450,785-		Homo sapiens (human)	chr17:82,449,255-82,450,785-	174
68	hsa_ires_00113.1|Homo sapiens (human)|chr10:79,946,529-79,949,105-		Homo sapiens (human)	chr10:79,946,529-79,949,105-	174
69	hsa_ires_00472.1|Homo sapiens (human)|chrX:48,898,336-48,898,509+		Homo sapiens (human)	chrX:48,898,336-48,898,509+	174
70	hsa_ires_00494.1|Homo sapiens (human)|chr4:75,514,444-75,515,529+		Homo sapiens (human)	chr4:75,514,444-75,515,529+	174
71	hsa_ires_00159.1|Homo sapiens (human)|chr10:104,275,129-104,275,302+		Homo sapiens (human)	chr10:104,275,129-104,275,302+	174
72	hsa_ires_00380.1|Homo sapiens (human)|chr12:209,987-213,953-		Homo sapiens (human)	chr12:209,987-213,953-	174
73	hsa_ires_00460.1|Homo sapiens (human)|chr1:8,868,019-8,870,586-		Homo sapiens (human)	chr1:8,868,019-8,870,586-	174
74	hsa_ires_00430.1|Homo sapiens (human)|chr6:34,238,828-34,240,780+		Homo sapiens (human)	chr6:34,238,828-34,240,780+	174
75	vir_ires_00089.1		Human alphaherpesvirus 3 (HHV-3)		174
76	hsa_ires_00047.1|Homo sapiens (human)|chr1:44,739,818-44,739,991+		Homo sapiens (human)	chr1:44,739,818-44,739,991+	174
77	hsa_ires_00510.1|Homo sapiens (human)|chr5:142,613,988-142,614,161-		Homo sapiens (human)	chr5:142,613,988-142,614,161-	174
78	hsa_ires_00419.1|Homo sapiens (human)|chr18:12,308,248-12,308,758+		Homo sapiens (human)	chr18:12,308,248-12,308,758+	174
79	hsa_ires_00378.1|Homo sapiens (human)|chr9:8,636,838-8,733,946-		Homo sapiens (human)	chr9:8,636,838-8,733,946-	174
80	hsa_ires_00102.1|Homo sapiens (human)|chr5:42,565,701-42,565,874+		Homo sapiens (human)	chr5:42,565,701-42,565,874+	174
81	hsa_ires_00085.1|Homo sapiens (human)|chr15:82,571,498-82,571,671-		Homo sapiens (human)	chr15:82,571,498-82,571,671-	174
82	hsa_ires_00016.1|Homo sapiens (human)|chr16:1,309,153-1,314,074+		Homo sapiens (human)	chr16:1,309,153-1,314,074+	174
83	vir_ires_00324.1		Rotavirus C		174
84	hsa_ires_00518.1|Homo sapiens (human)|chr19:36,236,267-36,236,440+		Homo sapiens (human)	chr19:36,236,267-36,236,440+	174
85	hsa_ires_00017.1|Homo sapiens (human)|chr11:46,701,094-46,701,524+		Homo sapiens (human)	chr11:46,701,094-46,701,524+	174
86	hsa_ires_00015.1|Homo sapiens (human)|chr2:73,829,015-73,830,856+		Homo sapiens (human)	chr2:73,829,015-73,830,856+	174
87	hsa_ires_00056.1|Homo sapiens (human)|chr1:162,381,730-162,381,903+		Homo sapiens (human)	chr1:162,381,730-162,381,903+	174
88	hsa_ires_00361.1|Homo sapiens (human)|chr1:179,592,442-179,592,615+		Homo sapiens (human)	chr1:179,592,442-179,592,615+	174
89	vir_ires_00239.1		Human alphaherpesvirus 1 (Herpes simplex virus 1, HHV-1)		174
90	hsa_ires_00136.1|Homo sapiens (human)|chr11:57,789,076-57,791,478+		Homo sapiens (human)	chr11:57,789,076-57,791,478+	174
91	hsa_ires_00224.1|Homo sapiens (human)|chr16:67,227,113-67,227,897+		Homo sapiens (human)	chr16:67,227,113-67,227,897+	174
92	hsa_ires_00068.1|Homo sapiens (human)|chr7:20,785,763-20,786,822-		Homo sapiens (human)	chr7:20,785,763-20,786,822-	174
93	hsa_ires_00414.1|Homo sapiens (human)|chr19:21,819,221-21,836,208-		Homo sapiens (human)	chr19:21,819,221-21,836,208-	174
94	vir_ires_00159.1		Human papillomavirus type 32 (HPV32)		174
95	hsa_ires_00255.1|Homo sapiens (human)|chr11:95,865,647-95,887,632-		Homo sapiens (human)	chr11:95,865,647-95,887,632-	174
96	vir_ires_00451.1		Human adenovirus 54 (HAdV-54)		174
97	vir_ires_00106.1		Human mastadenovirus F (HAdV-F)		174
98	vir_ires_00097.1		Human papillomavirus type 6b (HPV6b)		174
99	hsa_ires_00105.1|Homo sapiens (human)|chr4:121,164,126-121,164,299-		Homo sapiens (human)	chr4:121,164,126-121,164,299-	174
100	hsa_ires_00552.1|Homo sapiens (human)|chr12:10,130,083-10,130,256-		Homo sapiens (human)	chr12:10,130,083-10,130,256-	174
101	hsa_ires_00452.1|Homo sapiens (human)|chr20:50,096,717-50,109,042-		Homo sapiens (human)	chr20:50,096,717-50,109,042-	174
102	vir_ires_00321.1		Human parvovirus 4 G1		174
103	vir_ires_00142.1		Mouse mammary tumor virus (MMTV)		174
104	vir_ires_00388.1		Human mastadenovirus D (HAdV-D)		174
105	hsa_ires_00418.1|Homo sapiens (human)|chr2:183,078,760-183,078,933+		Homo sapiens (human)	chr2:183,078,760-183,078,933+	174
106	vir_ires_00165.1		Human papillomavirus type 53 (HPV53)		174
107	vir_ires_00265.1		Human mastadenovirus E (HAdV-E)		174
108	vir_ires_00155.1		Human papillomavirus type 10 (HPV10)		174
109	hsa_ires_00087.1|Homo sapiens (human)|chr17:7,675,216-7,675,389-		Homo sapiens (human)	chr17:7,675,216-7,675,389-	174
110	vir_ires_00152.1		Human polyomavirus 1		174
111	hsa_ires_00376.1|Homo sapiens (human)|chr10:114,163,269-114,174,127-		Homo sapiens (human)	chr10:114,163,269-114,174,127-	174
112	vir_ires_00284.1		Human papillomavirus type 92 (HPV92)		174
113	vir_ires_00036.1		Human papillomavirus type 31 (HPV31)		174
114	hsa_ires_00474.1|Homo sapiens (human)|chr12:56,116,614-56,116,787+		Homo sapiens (human)	chr12:56,116,614-56,116,787+	174
115	vir_ires_00426.1		Human betaherpesvirus 6A (HHV-6A)		174
116	vir_ires_00157.1		Human papillomavirus type 26 (HPV26)		174
117	hsa_ires_00072.1|Homo sapiens (human)|chr1:113,953,877-113,954,743+		Homo sapiens (human)	chr1:113,953,877-113,954,743+	174
118	vir_ires_00027.1		Human adenovirus 7 (HAdV7)		174
119	hsa_ires_00345.1|Homo sapiens (human)|chr11:40,116,293-40,241,597-		Homo sapiens (human)	chr11:40,116,293-40,241,597-	174
120	vir_ires_00397.1		Human mastadenovirus B (HAdV-B)		174
121	vir_ires_00012.1		Human mastadenovirus C; Human adenovirus 2 (HAdV-C)		174
122	hsa_ires_00324.1|Homo sapiens (human)|chr1:205,935,761-205,943,460-		Homo sapiens (human)	chr1:205,935,761-205,943,460-	174
123	vir_ires_00113.1		Human papillomavirus type 4 (HPV4)		174
124	hsa_ires_00396.1|Homo sapiens (human)|chr7:21,916,817-21,945,822-		Homo sapiens (human)	chr7:21,916,817-21,945,822-	174
125	hsa_ires_00503.1|Homo sapiens (human)|chrX:103,677,028-103,686,641-		Homo sapiens (human)	chrX:103,677,028-103,686,641-	174
126	hsa_ires_00454.1|Homo sapiens (human)|chr17:77,093,309-77,143,596+		Homo sapiens (human)	chr17:77,093,309-77,143,596+	174
127	vir_ires_00349.1		Human gammaherpesvirus 8 (Kaposi's sarcoma-associated herpesvirus)		174
128	hsa_ires_00022.1|Homo sapiens (human)|chr19:579,538-580,433+		Homo sapiens (human)	chr19:579,538-580,433+	174
129	hsa_ires_00108.1|Homo sapiens (human)|chr11:108,197,386-108,222,638-		Homo sapiens (human)	chr11:108,197,386-108,222,638-	174
130	hsa_ires_00546.1|Homo sapiens (human)|chr12:118,017,878-118,018,051+		Homo sapiens (human)	chr12:118,017,878-118,018,051+	174
131	hsa_ires_00302.1|Homo sapiens (human)|chr10:69,282,550-69,288,743+		Homo sapiens (human)	chr10:69,282,550-69,288,743+	174
132	hsa_ires_00184.1|Homo sapiens (human)|chr6:26,056,298-26,056,471-		Homo sapiens (human)	chr6:26,056,298-26,056,471-	174
133	vir_ires_00209.1		Human betaherpesvirus 7 (HHV-7)		174
134	vir_ires_00064.1		Human betaherpesvirus 6B (HHV-6B)		174
135	hsa_ires_00365.1|Homo sapiens (human)|chr8:407,051-431,357+		Homo sapiens (human)	chr8:407,051-431,357+	174
136	hsa_ires_00379.1|Homo sapiens (human)|chrX:23,783,178-23,783,351+		Homo sapiens (human)	chrX:23,783,178-23,783,351+	174
137	hsa_ires_00063.1|Homo sapiens (human)|chr19:35,907,549-35,908,309-		Homo sapiens (human)	chr19:35,907,549-35,908,309-	174
138	vir_ires_00310.1		Human betaherpesvirus 5 (HHV-5;  HCMV)		174
139	KX883971.1:5699-5893 Hubei diptera virus 1 IRES_Cripavirus Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.		 Hubei diptera virus 1		195
140	vir_ires_00508.1		GB virus C (GBV-HGV)		628
141	vir_ires_00471.1		Giardia lamblia virus (GLV)		518
142	vir_ires_00530.1		Hepacivirus N		297
143	GBV-B|Hepatitis GB virus B		Hepatitis GB virus B		416
144	GBV-C|Hepatitis GB virus C		Hepatitis GB virus C		630
145	p53_128-269|Homo sapiens		Homo sapiens (human)		142
146	MYB|Homo sapiens		Homo sapiens (human)		150
147	p27kip1|Homo sapiens		Homo sapiens (human)		152
148	MYT2_997-1152|Homo sapiens		Homo sapiens (human)		156
149	CM000664.2:15940568-15940760 Homo sapiens IRES_n-myc Homo sapiens chromosome 2, GRCh38 reference primary assembly.		Homo sapiens (human)		193
150	eIF4GI-ext|Homo sapiens		Homo sapiens (human)		196
151	CCND1|Homo sapiens		Homo sapiens (human)		209
152	CM000668.2:31827737-31827954 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6, GRCh38 reference primary assembly.		Homo sapiens (human)		218
153	GL000250.2:3148163-3148382 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.		Homo sapiens (human)		220
154	CM000663.2:39902015-39901795 Homo sapiens IRES_L-myc Homo sapiens chromosome 1, GRCh38 reference primary assembly.		Homo sapiens (human)		221
155	Apaf-1|Homo sapiens		Homo sapiens (human)		231
156	CM000671.2:125241341-125241094 Homo sapiens IRES_Bip Homo sapiens chromosome 9, GRCh38 reference primary assembly.		Homo sapiens (human)		248
157	eIF4GII|Homo sapiens		Homo sapiens (human)		256
158	CM000673.2:30012935-30012676 Homo sapiens IRES_Kv1_4 Homo sapiens chromosome 11, GRCh38 reference primary assembly.		Homo sapiens (human)		260
159	AT1R_var2|Homo sapiens		Homo sapiens (human)		272
160	CM000676.2:61695528-61695807 Homo sapiens IRES_HIF1 Homo sapiens chromosome 14, GRCh38 reference primary assembly.		Homo sapiens (human)		280
161	AQP4|Homo sapiens		Homo sapiens (human)		284
162	CM000670.2:127736244-127736545 Homo sapiens IRES_c-myc Homo sapiens chromosome 8, GRCh38 reference primary assembly.		Homo sapiens (human)		302
163	DAP5|Homo sapiens		Homo sapiens (human)		305
164	CM000668.2:43770953-43771261 Homo sapiens IRES_VEGF_A Homo sapiens chromosome 6, GRCh38 reference primary assembly.		Homo sapiens (human)		309
165	n-MYC|Homo sapiens		Homo sapiens (human)		320
166	CM000664.2:15941768-15942091 Homo sapiens IRES_n-myc Homo sapiens chromosome 2, GRCh38 reference primary assembly.		Homo sapiens (human)		324
167	eIF4GII-long|Homo sapiens		Homo sapiens (human)		327
168	AT1R_var3|Homo sapiens		Homo sapiens (human)		330
169	LamB1_-335_-1|Homo sapiens		Homo sapiens (human)		335
170	CM000671.2:84670396-84670748 Homo sapiens IRES_TrkB Homo sapiens chromosome 9, GRCh38 reference primary assembly.		Homo sapiens (human)		353
171	AT1R_var1|Homo sapiens		Homo sapiens (human)		356
172	eIF4G|Homo sapiens		Homo sapiens (human)		357
173	CM000671.2:33264696-33264327 Homo sapiens IRES_Bag1 Homo sapiens chromosome 9, GRCh38 reference primary assembly.		Homo sapiens (human)		370
174	PITSLRE_p58|Homo sapiens		Homo sapiens (human)		381
175	Pim-1|Homo sapiens		Homo sapiens (human)		396
176	CM000682.2:54173977-54173577 Homo sapiens IRES_cyp24a1 Homo sapiens chromosome 20, GRCh38 reference primary assembly.		Homo sapiens (human)		401
177	UNR|Homo sapiens		Homo sapiens (human)		429
178	FGF1A|Homo sapiens		Homo sapiens (human)		434
179	ELG1|Homo sapiens		Homo sapiens (human)		460
180	XIAP_5-464|Homo sapiens		Homo sapiens (human)		460
181	CM000666.2:122826680-122827177 Homo sapiens IRES_FGF2 Homo sapiens chromosome 4, GRCh38 reference primary assembly.		Homo sapiens (human)		498
182	CM000684.2:39244768-39244141 Homo sapiens IRES_c-sis Homo sapiens chromosome 22, GRCh38 reference primary assembly.		Homo sapiens (human)		628
183	NRF_-653_-17|Homo sapiens		Homo sapiens (human)		637
184	KX883290.1:6822-7013 Hubei picorna-like virus 15 IRES_Cripavirus Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.		Hubei picorna-like virus 15		192
185	vir_ires_00542.1		Human T-cell leukemia virus type I		264
186	LINE-1_ORF1_-101_to_-1|Mus musculus		Mus musculus (mouse)		101
187	VEGF-A_-133_-1|Mus musculus		Mus musculus (mouse)		133
188	CM001004.3:74721955-74722157 Mus musculus IRES_mnt CM001004.3 Mus musculus chromosome 11, GRCm39 reference primary assembly C57BL/6J		Mus musculus (mouse)		203
189	CM001005.3:12991823-12991620 Mus musculus IRES_n-myc CM001005.3 Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J		Mus musculus (mouse)		204
190	NDST3|Mus musculus		Mus musculus (mouse)		247
191	CM000995.3:34662106-34662369 Mus musculus IRES_Bip Mus musculus chromosome 2, GRCm39 reference primary assembly C57BL/6J		Mus musculus (mouse)		264
192	CM001005.3:73954790-73955066 Mus musculus IRES_HIF1 CM001005.3 Mus musculus chromosome 12, GRCm39 reference primary assembly C57BL/6J		Mus musculus (mouse)		277
193	CM001010.3:46342573-46342268 Mus musculus IRES_VEGF_A CM001010.3 Mus musculus chromosome 17, GRCm39 reference primary assembly C57BL/6J		Mus musculus (mouse)		306
194	CM000997.3:40948223-40947846 Mus musculus IRES_Bag1 CM000997.3 Mus musculus chromosome 4, GRCm39 reference primary assembly C57BL/6J		Mus musculus (mouse)		378
195	NDST4S|Mus musculus		Mus musculus (mouse)		418
196	UtrA|Mus musculus		Mus musculus (mouse)		506
197	Apaf-1|Mus musculus		Mus musculus (mouse)		583
198	CM001008.3:79898989-79898383 Mus musculus IRES_c-sis CM001008.3 Mus musculus chromosome 15, GRCm39 reference primary assembly C57BL/6J		Mus musculus (mouse)		607
199	NDST4L|Mus musculus		Mus musculus (mouse)		672
200	REV-A|Reticuloendotheliosis virus		Reticuloendotheliosis virus		577
