query	target	pident	alnlen	bits	evalue	cigar
hsa_ires_00096.1|Homo	hsa_ires_00096.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00128.1|Homo	hsa_ires_00128.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00160.1|Homo	hsa_ires_00160.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00192.1|Homo	hsa_ires_00192.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00224.1|Homo	hsa_ires_00224.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00256.1|Homo	hsa_ires_00256.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00288.1|Homo	hsa_ires_00288.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00320.1|Homo	hsa_ires_00320.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00352.1|Homo	hsa_ires_00352.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00384.1|Homo	hsa_ires_00384.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00416.1|Homo	hsa_ires_00416.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00448.1|Homo	hsa_ires_00448.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00480.1|Homo	hsa_ires_00480.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00512.1|Homo	hsa_ires_00512.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00544.1|Homo	hsa_ires_00544.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00576.1|Homo	hsa_ires_00576.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00608.1|Homo	hsa_ires_00608.1|Homo	100.000	125	225	1.084E-66	125M
hsa_ires_00640.1|Homo	hsa_ires_00640.1|Homo	100.000	277	498	1.003E-152	277M
mouse_hsa_ires_00128.1	mouse_hsa_ires_00130.1	100.000	146	263	1.389E-78	146M
mouse_hsa_ires_00128.1	mouse_hsa_ires_00128.1	100.000	146	263	1.389E-78	146M
mouse_hsa_ires_00175.1	mouse_hsa_ires_00175.1	100.000	207	372	4.090E-113	207M
ABPV_IGRpred|Acute	ABPV_IGRpred|Acute	100.000	199	358	1.379E-108	199M
ABPV_IGRpred|Acute	vir_ires_00510.1	100.000	199	358	1.379E-108	199M
HIV-1|Human	HIV-1|Human	100.000	233	419	7.903E-128	233M
HIV-1|Human	vir_ires_00470.1	100.000	232	417	3.761E-127	232M
vir_ires_00018.1	vir_ires_00018.1	100.000	174	313	1.952E-94	174M
vir_ires_00074.1	vir_ires_00074.1	100.000	174	313	1.952E-94	174M
vir_ires_00012.1	vir_ires_00012.1	100.000	174	313	1.952E-94	174M
vir_ires_00337.1	vir_ires_00337.1	100.000	174	313	1.952E-94	174M
vir_ires_00477.1	SV40_661-830|Simian	100.000	170	306	3.588E-92	170M
vir_ires_00477.1	vir_ires_00477.1	100.000	170	306	3.588E-92	170M
vir_ires_00140.1	vir_ires_00140.1	100.000	174	313	1.952E-94	174M
vir_ires_00489.1	vir_ires_00489.1	100.000	175	315	5.301E-95	175M
vir_ires_00279.1	vir_ires_00279.1	100.000	174	313	1.952E-94	174M
vir_ires_00242.1	vir_ires_00242.1	100.000	174	313	1.952E-94	174M
vir_ires_00274.1	vir_ires_00274.1	100.000	174	313	1.952E-94	174M
vir_ires_00388.1	vir_ires_00388.1	100.000	174	313	1.952E-94	174M
vir_ires_00098.1	vir_ires_00098.1	100.000	174	313	1.952E-94	174M
vir_ires_00078.1	vir_ires_00078.1	100.000	174	313	1.952E-94	174M
vir_ires_00143.1	vir_ires_00143.1	100.000	174	313	1.952E-94	174M
vir_ires_00504.1	vir_ires_00504.1	100.000	510	915	1.636E-284	510M
vir_ires_00000.1	vir_ires_00000.1	100.000	174	313	1.952E-94	174M
vir_ires_00521.1	vir_ires_00521.1	100.000	421	756	3.517E-234	421M
vir_ires_00553.1	vir_ires_00553.1	100.000	369	663	9.065E-205	369M
CM000685.2:38479154-38479285	CM000685.2:38479154-38479285	100.000	132	238	1.177E-70	132M
hsa_ires_00001.1|Homo	hsa_ires_00001.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00033.1|Homo	hsa_ires_00033.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00065.1|Homo	hsa_ires_00065.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00097.1|Homo	hsa_ires_00097.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00129.1|Homo	hsa_ires_00129.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00161.1|Homo	hsa_ires_00161.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00193.1|Homo	hsa_ires_00193.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00225.1|Homo	hsa_ires_00225.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00257.1|Homo	hsa_ires_00257.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00289.1|Homo	hsa_ires_00289.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00321.1|Homo	hsa_ires_00321.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00353.1|Homo	hsa_ires_00353.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00385.1|Homo	hsa_ires_00385.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00417.1|Homo	hsa_ires_00417.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00449.1|Homo	hsa_ires_00449.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00481.1|Homo	hsa_ires_00481.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00513.1|Homo	hsa_ires_00513.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00545.1|Homo	hsa_ires_00545.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00577.1|Homo	hsa_ires_00577.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00609.1|Homo	MTG8a|Homo	100.000	199	358	1.379E-108	199M
hsa_ires_00609.1|Homo	hsa_ires_00609.1|Homo	100.000	199	358	1.379E-108	199M
hsa_ires_00641.1|Homo	hsa_ires_00641.1|Homo	100.000	398	715	3.586E-221	398M
hsa_ires_00673.1|Homo	hsa_ires_00673.1|Homo	100.000	105	190	2.312E-55	105M
CM001003.3:56253427-56253630	mouse_CM000668.2:121435649-121435848	100.000	204	367	2.040E-111	204M
CM001003.3:56253427-56253630	CM001003.3:56253427-56253630	100.000	204	367	2.040E-111	204M
CM001003.3:56253427-56253630	mmu_ires_00012.1|Mus	100.000	189	340	2.410E-101	189M
mouse_hsa_ires_00373.1	mouse_hsa_ires_00373.1	100.000	193	347	3.432E-105	193M
mouse_hsa_ires_00373.1	mouse_hsa_ires_00118.1	100.000	193	347	3.432E-105	193M
mouse_hsa_ires_00373.1	mouse_hsa_ires_00509.1	100.000	193	347	3.432E-105	193M
mouse_hsa_ires_00350.1	mouse_hsa_ires_00350.1	100.000	89	161	2.689E-46	89M
mouse_hsa_ires_00562.1	mouse_hsa_ires_00562.1	100.000	134	242	8.670E-72	134M
AEV|Avian	AEV|Avian	100.000	494	887	1.828E-275	494M
vir_ires_00482.1	vir_ires_00482.1	100.000	590	1059	0.000E+00	590M
vir_ires_00482.1	HAV_HM175|Human	100.000	584	1048	0.000E+00	584M
vir_ires_00482.1	M14707.1:166-737	100.000	572	1026	1.096E-317	572M
vir_ires_00204.1	vir_ires_00204.1	100.000	174	313	1.952E-94	174M
vir_ires_00230.1	vir_ires_00230.1	100.000	174	313	1.952E-94	174M
vir_ires_00381.1	vir_ires_00381.1	100.000	174	313	1.952E-94	174M
vir_ires_00386.1	vir_ires_00386.1	100.000	174	313	1.952E-94	174M
vir_ires_00386.1	vir_ires_00439.1	94.000	167	256	2.614E-73	167M
vir_ires_00116.1	vir_ires_00116.1	100.000	174	313	1.952E-94	174M
vir_ires_00454.1	vir_ires_00454.1	100.000	174	313	1.952E-94	174M
vir_ires_00216.1	vir_ires_00216.1	100.000	174	313	1.952E-94	174M
vir_ires_00042.1	vir_ires_00042.1	100.000	174	313	1.952E-94	174M
vir_ires_00106.1	vir_ires_00106.1	100.000	174	313	1.952E-94	174M
vir_ires_00232.1	vir_ires_00232.1	100.000	174	313	1.952E-94	174M
vir_ires_00364.1	vir_ires_00364.1	100.000	174	313	1.952E-94	174M
vir_ires_00178.1	vir_ires_00178.1	100.000	174	313	1.952E-94	174M
vir_ires_00141.1	vir_ires_00141.1	100.000	174	313	1.952E-94	174M
vir_ires_00522.1	vir_ires_00522.1	100.000	127	229	7.986E-68	127M
CM000664.2:15941768-15942091	CM000664.2:15941768-15942091	100.000	324	582	2.582E-179	324M
CCND1|Homo	CCND1|Homo	100.000	209	376	3.019E-114	209M
hsa_ires_00002.1|Homo	hsa_ires_00002.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00034.1|Homo	hsa_ires_00034.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00066.1|Homo	hsa_ires_00066.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00098.1|Homo	hsa_ires_00098.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00130.1|Homo	hsa_ires_00130.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00162.1|Homo	hsa_ires_00162.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00194.1|Homo	hsa_ires_00194.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00226.1|Homo	hsa_ires_00226.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00258.1|Homo	hsa_ires_00258.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00290.1|Homo	hsa_ires_00290.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00322.1|Homo	hsa_ires_00322.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00354.1|Homo	hsa_ires_00354.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00386.1|Homo	hsa_ires_00386.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00418.1|Homo	hsa_ires_00418.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00450.1|Homo	hsa_ires_00450.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00482.1|Homo	hsa_ires_00482.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00514.1|Homo	hsa_ires_00514.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00546.1|Homo	hsa_ires_00546.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00578.1|Homo	hsa_ires_00578.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00610.1|Homo	MYB|Homo	100.000	150	270	7.550E-81	150M
hsa_ires_00610.1|Homo	hsa_ires_00610.1|Homo	100.000	150	270	7.550E-81	150M
hsa_ires_00642.1|Homo	hsa_ires_00642.1|Homo	100.000	28	52	1.058E-11	28M
hsa_ires_00674.1|Homo	hsa_ires_00674.1|Homo	100.000	212	381	6.053E-116	212M
CM001013.3:5381376-5381052	CM001013.3:5381376-5381052	100.000	325	584	7.020E-180	325M
mmu_ires_00014.1|Mus	mmu_ires_00014.1|Mus	100.000	120	216	7.361E-64	120M
mouse_c-myc	mouse_c-myc	100.000	311	559	5.836E-172	311M
mouse_c-myc	CM001008.3:61857412-61857722	100.000	311	559	5.836E-172	311M
mouse_c-myc	mouse_hsa_ires_00598.1	100.000	311	559	5.836E-172	311M
HRV-2|Human	HRV-2|Human	100.000	604	1084	0.000E+00	604M
vir_ires_00111.1	vir_ires_00111.1	100.000	174	313	1.952E-94	174M
vir_ires_00123.1	vir_ires_00123.1	100.000	174	313	1.952E-94	174M
vir_ires_00445.1	vir_ires_00445.1	100.000	174	313	1.952E-94	174M
vir_ires_00436.1	vir_ires_00436.1	100.000	174	313	1.952E-94	174M
vir_ires_00436.1	vir_ires_00383.1	92.800	167	247	3.802E-70	167M
vir_ires_00125.1	vir_ires_00125.1	100.000	174	313	1.952E-94	174M
vir_ires_00308.1	vir_ires_00308.1	100.000	174	313	1.952E-94	174M
vir_ires_00053.1	vir_ires_00053.1	100.000	174	313	1.952E-94	174M
vir_ires_00272.1	vir_ires_00272.1	100.000	174	313	1.952E-94	174M
vir_ires_00403.1	vir_ires_00403.1	100.000	174	313	1.952E-94	174M
vir_ires_00435.1	vir_ires_00435.1	100.000	174	313	1.952E-94	174M
vir_ires_00460.1	vir_ires_00460.1	100.000	174	313	1.952E-94	174M
vir_ires_00451.1	vir_ires_00451.1	100.000	174	313	1.952E-94	174M
vir_ires_00451.1	vir_ires_00387.1	92.200	167	242	1.396E-68	167M
vir_ires_00212.1	vir_ires_00212.1	100.000	174	313	1.952E-94	174M
vir_ires_00010.1	vir_ires_00010.1	100.000	174	313	1.952E-94	174M
vir_ires_00073.1	vir_ires_00073.1	100.000	174	313	1.952E-94	174M
CM000664.2:15940568-15940760	CM000664.2:15940568-15940760	100.000	193	347	3.432E-105	193M
DAP5|Homo	DAP5|Homo	100.000	305	548	1.447E-168	305M
hsa_ires_00003.1|Homo	hsa_ires_00003.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00035.1|Homo	hsa_ires_00035.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00067.1|Homo	hsa_ires_00067.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00099.1|Homo	hsa_ires_00099.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00131.1|Homo	hsa_ires_00131.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00163.1|Homo	hsa_ires_00163.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00195.1|Homo	hsa_ires_00195.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00227.1|Homo	hsa_ires_00227.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00259.1|Homo	hsa_ires_00259.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00291.1|Homo	hsa_ires_00291.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00323.1|Homo	hsa_ires_00323.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00355.1|Homo	hsa_ires_00355.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00387.1|Homo	hsa_ires_00387.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00419.1|Homo	hsa_ires_00419.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00451.1|Homo	hsa_ires_00451.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00483.1|Homo	hsa_ires_00483.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00515.1|Homo	hsa_ires_00515.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00547.1|Homo	hsa_ires_00547.1|Homo	100.000	174	313	1.952E-94	174M
hsa_ires_00579.1|Homo	hsa_ires_00579.1|Homo	100.000	174	313	1.952E-94	174M
