Cluster Num,Representative,Member,RFAM family,Organism,Location,Length
10,"hsa_ires_00208.1|Homo sapiens (human)|chr6:36,540,203-36,547,358-","hsa_ires_00208.1|Homo sapiens (human)|chr6:36,540,203-36,547,358-",,Homo sapiens (human),"chr6:36,540,203-36,547,358-",174
11,"hsa_ires_00240.1|Homo sapiens (human)|chr19:50,981,772-50,983,881-","hsa_ires_00240.1|Homo sapiens (human)|chr19:50,981,772-50,983,881-",,Homo sapiens (human),"chr19:50,981,772-50,983,881-",174
12,"hsa_ires_00272.1|Homo sapiens (human)|chr12:104,287,082-104,311,325+","hsa_ires_00272.1|Homo sapiens (human)|chr12:104,287,082-104,311,325+",,Homo sapiens (human),"chr12:104,287,082-104,311,325+",174
13,"hsa_ires_00304.1|Homo sapiens (human)|chr14:21,234,194-21,269,409-","hsa_ires_00304.1|Homo sapiens (human)|chr14:21,234,194-21,269,409-",,Homo sapiens (human),"chr14:21,234,194-21,269,409-",174
14,"hsa_ires_00336.1|Homo sapiens (human)|chr6:44,247,035-44,248,629+","hsa_ires_00336.1|Homo sapiens (human)|chr6:44,247,035-44,248,629+",,Homo sapiens (human),"chr6:44,247,035-44,248,629+",174
15,"hsa_ires_00368.1|Homo sapiens (human)|chr3:52,495,340-52,501,187+","hsa_ires_00368.1|Homo sapiens (human)|chr3:52,495,340-52,501,187+",,Homo sapiens (human),"chr3:52,495,340-52,501,187+",174
16,"hsa_ires_00400.1|Homo sapiens (human)|chr12:9,733,126-9,733,299-","hsa_ires_00400.1|Homo sapiens (human)|chr12:9,733,126-9,733,299-",,Homo sapiens (human),"chr12:9,733,126-9,733,299-",174
17,"hsa_ires_00432.1|Homo sapiens (human)|chr16:49,730,868-49,857,750-","hsa_ires_00432.1|Homo sapiens (human)|chr16:49,730,868-49,857,750-",,Homo sapiens (human),"chr16:49,730,868-49,857,750-",174
18,"hsa_ires_00464.1|Homo sapiens (human)|chr14:58,244,805-58,247,786+","hsa_ires_00464.1|Homo sapiens (human)|chr14:58,244,805-58,247,786+",,Homo sapiens (human),"chr14:58,244,805-58,247,786+",174
19,"hsa_ires_00496.1|Homo sapiens (human)|chr22:40,857,081-40,860,686+","hsa_ires_00496.1|Homo sapiens (human)|chr22:40,857,081-40,860,686+",,Homo sapiens (human),"chr22:40,857,081-40,860,686+",174
20,"hsa_ires_00528.1|Homo sapiens (human)|chr5:91,383,093-91,383,266-","hsa_ires_00528.1|Homo sapiens (human)|chr5:91,383,093-91,383,266-",,Homo sapiens (human),"chr5:91,383,093-91,383,266-",174
21,"hsa_ires_00560.1|Homo sapiens (human)|chr1:177,171,635-177,229,876+","hsa_ires_00560.1|Homo sapiens (human)|chr1:177,171,635-177,229,876+",,Homo sapiens (human),"chr1:177,171,635-177,229,876+",174
22,"hsa_ires_00592.1|Homo sapiens (human)|chr12:12,717,368-12,717,839+","hsa_ires_00592.1|Homo sapiens (human)|chr12:12,717,368-12,717,839+",,Homo sapiens (human),"chr12:12,717,368-12,717,839+",472
23,"hsa_ires_00624.1|Homo sapiens (human)|chr15:64,499,293-64,500,166+","hsa_ires_00624.1|Homo sapiens (human)|chr15:64,499,293-64,500,166+",,Homo sapiens (human),"chr15:64,499,293-64,500,166+",211
24,"hsa_ires_00656.1|Homo sapiens (human)|chr1:145,996,441-145,996,607-","hsa_ires_00656.1|Homo sapiens (human)|chr1:145,996,441-145,996,607-",,Homo sapiens (human),"chr1:145,996,441-145,996,607-",167
25,"hsa_ires_00688.1|Homo sapiens (human)|chr13:51,034,096-51,066,006-","hsa_ires_00688.1|Homo sapiens (human)|chr13:51,034,096-51,066,006-",,Homo sapiens (human),"chr13:51,034,096-51,066,006-",194
26,NDST4L|Mus musculus,NDST4L|Mus musculus,,Mus musculus (mouse),,672
27,mmu_ires_00028.1|Mus musculus (house mouse),mmu_ires_00028.1|Mus musculus (house mouse),,Mus musculus (mouse),,259
28,mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr19:56698262-56698426-,165
28,mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hSNM1 | chr19:56133365-56133529(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr19:56133365-56133529-,165
28,mouse_hsa_ires_00376.1 | chr19:56698262-56698426(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00603.1 | chr19:56133365-56133529(-) | RF00216 | IRES_c-myc | internal ribosome entry site (IRES),RF00216,Mus musculus (mouse),chr19:56133365-56133529-,165
29,"KX884315.1:5604-5785 Wenling crustacean virus 2 IRES_Cripavirus Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX884315.1:5604-5785 Wenling crustacean virus 2 IRES_Cripavirus Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,182
30,SINV1_IGRpred|Solenopsis invicta virus 1,SINV1_IGRpred|Solenopsis invicta virus 1,,Solenopsis invicta virus 1,,200
30,SINV1_IGRpred|Solenopsis invicta virus 1,vir_ires_00499.1,,Virus,,204
31,vir_ires_00203.1,vir_ires_00203.1,,Virus,,174
32,vir_ires_00487.1,vir_ires_00487.1,,Virus,,235
32,vir_ires_00487.1,FeLV-Notch2|Felis silvestris,,Felis silvestris,,238
33,vir_ires_00005.1,vir_ires_00005.1,,Virus,,174
34,vir_ires_00491.1,vir_ires_00491.1,RF00458,Virus,,178
35,vir_ires_00197.1,vir_ires_00197.1,,Virus,,174
36,vir_ires_00497.1,vir_ires_00497.1,,Virus,,395
37,vir_ires_00072.1,vir_ires_00072.1,,Virus,,174
38,vir_ires_00080.1,vir_ires_00080.1,,Virus,,174
39,vir_ires_00418.1,vir_ires_00418.1,,Virus,,174
40,vir_ires_00050.1,vir_ires_00050.1,,Virus,,174
41,vir_ires_00131.1,vir_ires_00131.1,,Virus,,174
42,vir_ires_00322.1,vir_ires_00322.1,,Virus,,174
43,vir_ires_00285.1,vir_ires_00285.1,,Virus,,174
44,vir_ires_00270.1,vir_ires_00270.1,,Virus,,174
45,vir_ires_00537.1,vir_ires_00537.1,,Virus,,389
46,"hsa_ires_00017.1|Homo sapiens (human)|chr11:46,701,094-46,701,524+","hsa_ires_00017.1|Homo sapiens (human)|chr11:46,701,094-46,701,524+",,Homo sapiens (human),"chr11:46,701,094-46,701,524+",174
47,"hsa_ires_00049.1|Homo sapiens (human)|chr1:204,073,539-204,112,915+","hsa_ires_00049.1|Homo sapiens (human)|chr1:204,073,539-204,112,915+",,Homo sapiens (human),"chr1:204,073,539-204,112,915+",174
48,"hsa_ires_00081.1|Homo sapiens (human)|chr8:144,890,045-144,901,461-","hsa_ires_00081.1|Homo sapiens (human)|chr8:144,890,045-144,901,461-",,Homo sapiens (human),"chr8:144,890,045-144,901,461-",174
49,"hsa_ires_00113.1|Homo sapiens (human)|chr10:79,946,529-79,949,105-","hsa_ires_00113.1|Homo sapiens (human)|chr10:79,946,529-79,949,105-",,Homo sapiens (human),"chr10:79,946,529-79,949,105-",174
50,"hsa_ires_00145.1|Homo sapiens (human)|chr3:198,152,366-198,153,224+","hsa_ires_00145.1|Homo sapiens (human)|chr3:198,152,366-198,153,224+",,Homo sapiens (human),"chr3:198,152,366-198,153,224+",174
51,"hsa_ires_00177.1|Homo sapiens (human)|chr14:94,383,238-94,390,522-","hsa_ires_00177.1|Homo sapiens (human)|chr14:94,383,238-94,390,522-",,Homo sapiens (human),"chr14:94,383,238-94,390,522-",174
52,"hsa_ires_00209.1|Homo sapiens (human)|chr11:64,285,104-64,286,524+","hsa_ires_00209.1|Homo sapiens (human)|chr11:64,285,104-64,286,524+",,Homo sapiens (human),"chr11:64,285,104-64,286,524+",174
53,"hsa_ires_00241.1|Homo sapiens (human)|chrX:30,232,906-30,235,924+","hsa_ires_00241.1|Homo sapiens (human)|chrX:30,232,906-30,235,924+",,Homo sapiens (human),"chrX:30,232,906-30,235,924+",174
54,"hsa_ires_00273.1|Homo sapiens (human)|chr7:139,787,365-139,875,602+","hsa_ires_00273.1|Homo sapiens (human)|chr7:139,787,365-139,875,602+",,Homo sapiens (human),"chr7:139,787,365-139,875,602+",174
55,"hsa_ires_00305.1|Homo sapiens (human)|chr14:23,953,756-23,955,047+","hsa_ires_00305.1|Homo sapiens (human)|chr14:23,953,756-23,955,047+",,Homo sapiens (human),"chr14:23,953,756-23,955,047+",174
56,"hsa_ires_00337.1|Homo sapiens (human)|chr11:99,325,381-99,556,214+","hsa_ires_00337.1|Homo sapiens (human)|chr11:99,325,381-99,556,214+",,Homo sapiens (human),"chr11:99,325,381-99,556,214+",174
57,"hsa_ires_00369.1|Homo sapiens (human)|chr12:6,555,910-6,556,083-","hsa_ires_00369.1|Homo sapiens (human)|chr12:6,555,910-6,556,083-",,Homo sapiens (human),"chr12:6,555,910-6,556,083-",174
58,"hsa_ires_00401.1|Homo sapiens (human)|chr2:127,874,235-127,884,783-","hsa_ires_00401.1|Homo sapiens (human)|chr2:127,874,235-127,884,783-",,Homo sapiens (human),"chr2:127,874,235-127,884,783-",174
59,"hsa_ires_00433.1|Homo sapiens (human)|chr19:58,554,187-58,554,988-","hsa_ires_00433.1|Homo sapiens (human)|chr19:58,554,187-58,554,988-",,Homo sapiens (human),"chr19:58,554,187-58,554,988-",174
60,"hsa_ires_00465.1|Homo sapiens (human)|chr2:161,136,955-161,179,678+","hsa_ires_00465.1|Homo sapiens (human)|chr2:161,136,955-161,179,678+",,Homo sapiens (human),"chr2:161,136,955-161,179,678+",174
61,"hsa_ires_00497.1|Homo sapiens (human)|chr22:39,021,346-39,021,519+","hsa_ires_00497.1|Homo sapiens (human)|chr22:39,021,346-39,021,519+",,Homo sapiens (human),"chr22:39,021,346-39,021,519+",174
62,"hsa_ires_00529.1|Homo sapiens (human)|chr7:141,738,445-141,739,166+","hsa_ires_00529.1|Homo sapiens (human)|chr7:141,738,445-141,739,166+",,Homo sapiens (human),"chr7:141,738,445-141,739,166+",174
63,"hsa_ires_00561.1|Homo sapiens (human)|chr3:157,495,350-157,503,487-","hsa_ires_00561.1|Homo sapiens (human)|chr3:157,495,350-157,503,487-",,Homo sapiens (human),"chr3:157,495,350-157,503,487-",174
64,hsa_ires_00625.1|Homo sapiens (human)|NA,hsa_ires_00625.1|Homo sapiens (human)|NA,,Homo sapiens (human),Homo sapiens human,90
65,"hsa_ires_00657.1|Homo sapiens (human)|chr17:45,894,464-45,962,337+","hsa_ires_00657.1|Homo sapiens (human)|chr17:45,894,464-45,962,337+",,Homo sapiens (human),"chr17:45,894,464-45,962,337+",240
66,"hsa_ires_00689.1|Homo sapiens (human)|chr9:87,726,220-87,726,396+","hsa_ires_00689.1|Homo sapiens (human)|chr9:87,726,220-87,726,396+",,Homo sapiens (human),"chr9:87,726,220-87,726,396+",177
67,NDST4S|Mus musculus,NDST4S|Mus musculus,,Mus musculus (mouse),,418
68,mouse_hsa_ires_00077.1 | chr5:64033802-64033992(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00077.1 | chr5:64033802-64033992(-) | RF00226 | IRES_n-myc | internal ribosome entry site (IRES),RF00226,Mus musculus (mouse),chr5:64033802-64033992-,191
69,"KX884293.1:7275-7471 Wuhan millipede virus 3 IRES_Cripavirus Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.","KX884293.1:7275-7471 Wuhan millipede virus 3 IRES_Cripavirus Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",RF00458,Virus,,197
70,EoPV_5NTR|Ectropis obliqua picorna-like virus,EoPV_5NTR|Ectropis obliqua picorna-like virus,,Ectropis obliqua picorna-like virus,,390
71,vir_ires_00093.1,vir_ires_00093.1,,Virus,,174
72,vir_ires_00358.1,vir_ires_00358.1,,Virus,,174
73,vir_ires_00266.1,vir_ires_00266.1,,Virus,,174
74,vir_ires_00176.1,vir_ires_00176.1,,Virus,,174
75,vir_ires_00009.1,vir_ires_00009.1,,Virus,,174
76,vir_ires_00370.1,vir_ires_00370.1,,Virus,,174
77,vir_ires_00377.1,vir_ires_00377.1,,Virus,,174
78,vir_ires_00326.1,vir_ires_00326.1,,Virus,,174
79,vir_ires_00424.1,vir_ires_00424.1,,Virus,,174
80,vir_ires_00443.1,vir_ires_00443.1,,Virus,,174
80,vir_ires_00443.1,vir_ires_00030.1,,Virus,,174
80,vir_ires_00443.1,vir_ires_00444.1,,Virus,,174
81,vir_ires_00054.1,vir_ires_00054.1,,Virus,,174
82,vir_ires_00119.1,vir_ires_00119.1,,Virus,,174
83,vir_ires_00485.1,vir_ires_00485.1,,Virus,,280
84,vir_ires_00486.1,vir_ires_00486.1,,Virus,,408
85,vir_ires_00017.1,vir_ires_00017.1,,Virus,,174
86,vir_ires_00538.1,vir_ires_00538.1,,Virus,,372
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.",RF00495,Homo sapiens (human),,220
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","GL000250.2:3148163-3148382 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.",,Homo sapiens (human),,220
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","CM000668.2:31815541-31815760 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6, GRCh38 reference primary assembly.",,Homo sapiens (human),,220
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","hsa_ires_00604.1|Homo sapiens (human)|chr6:31,815,541-31,815,756+",RF00495,Homo sapiens (human),"chr6:31,815,541-31,815,756+",216
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","GL000251.2:3292792-3293011 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_2.",RF00495,Homo sapiens (human),,220
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.","GL000252.2:3063320-3063539 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_3.",,Homo sapiens (human),,220
87,"GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.",hsp70|Homo sapiens,RF00495,Homo sapiens (human),,193
88,MNT_75-267|Homo sapiens,MNT_75-267|Homo sapiens,RF00457,Homo sapiens (human),,193
88,MNT_75-267|Homo sapiens,MNT_75-267|Homo sapiens,RF00457,Homo sapiens (human),,193
88,MNT_75-267|Homo sapiens,"CM001004.3:74721955-74722157 Mus musculus IRES_mnt CM001004.3 Mus musculus chromosome 11, GRCm39 reference primary assembly C57BL/6J",,Mus musculus (mouse),,203
88,MNT_75-267|Homo sapiens,mouse_CM000679.2:2400912-2400710 | chr11:74721955-74722157(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr11:74721955-74722157+,203
88,MNT_75-267|Homo sapiens,mouse_hsa_ires_00608.1 | chr11:74721955-74722157(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr11:74721955-74722157+,203
88,MNT_75-267|Homo sapiens,mouse_MNT_75-267 | chr11:74721955-74722157(+) | RF00457 | IRES_mnt | IRES,RF00457,Mus musculus (mouse),chr11:74721955-74722157+,203
88,MNT_75-267|Homo sapiens,"CM000679.2:2400912-2400710 Homo sapiens IRES_mnt Homo sapiens chromosome 17, GRCh38 reference primary assembly.",RF00457,Homo sapiens (human),,203
89,"hsa_ires_00018.1|Homo sapiens (human)|chr2:210,476,387-210,476,767-","hsa_ires_00018.1|Homo sapiens (human)|chr2:210,476,387-210,476,767-",,Homo sapiens (human),"chr2:210,476,387-210,476,767-",174
90,"hsa_ires_00050.1|Homo sapiens (human)|chr19:8,316,611-8,321,396-","hsa_ires_00050.1|Homo sapiens (human)|chr19:8,316,611-8,321,396-",,Homo sapiens (human),"chr19:8,316,611-8,321,396-",174
91,"hsa_ires_00082.1|Homo sapiens (human)|chr15:72,219,098-72,231,276-","hsa_ires_00082.1|Homo sapiens (human)|chr15:72,219,098-72,231,276-",,Homo sapiens (human),"chr15:72,219,098-72,231,276-",174
92,"hsa_ires_00114.1|Homo sapiens (human)|chr21:43,095,724-43,104,334-","hsa_ires_00114.1|Homo sapiens (human)|chr21:43,095,724-43,104,334-",,Homo sapiens (human),"chr21:43,095,724-43,104,334-",174
93,"hsa_ires_00178.1|Homo sapiens (human)|chr14:39,267,416-39,279,471+","hsa_ires_00178.1|Homo sapiens (human)|chr14:39,267,416-39,279,471+",,Homo sapiens (human),"chr14:39,267,416-39,279,471+",174
94,"hsa_ires_00210.1|Homo sapiens (human)|chr11:10,807,296-10,808,792-","hsa_ires_00210.1|Homo sapiens (human)|chr11:10,807,296-10,808,792-",,Homo sapiens (human),"chr11:10,807,296-10,808,792-",174
95,"hsa_ires_00242.1|Homo sapiens (human)|chr19:38,931,121-38,931,294+","hsa_ires_00242.1|Homo sapiens (human)|chr19:38,931,121-38,931,294+",,Homo sapiens (human),"chr19:38,931,121-38,931,294+",174
96,"hsa_ires_00274.1|Homo sapiens (human)|chr3:124,730,366-124,730,539+","hsa_ires_00274.1|Homo sapiens (human)|chr3:124,730,366-124,730,539+",,Homo sapiens (human),"chr3:124,730,366-124,730,539+",174
97,"hsa_ires_00306.1|Homo sapiens (human)|chr3:48,433,857-48,434,870-","hsa_ires_00306.1|Homo sapiens (human)|chr3:48,433,857-48,434,870-",,Homo sapiens (human),"chr3:48,433,857-48,434,870-",174
98,"hsa_ires_00338.1|Homo sapiens (human)|chr2:219,245,470-219,246,016+","hsa_ires_00338.1|Homo sapiens (human)|chr2:219,245,470-219,246,016+",,Homo sapiens (human),"chr2:219,245,470-219,246,016+",174
99,"hsa_ires_00370.1|Homo sapiens (human)|chrX:33,339,266-33,339,439-","hsa_ires_00370.1|Homo sapiens (human)|chrX:33,339,266-33,339,439-",,Homo sapiens (human),"chrX:33,339,266-33,339,439-",174
100,"hsa_ires_00402.1|Homo sapiens (human)|chr7:42,926,661-42,932,206-","hsa_ires_00402.1|Homo sapiens (human)|chr7:42,926,661-42,932,206-",,Homo sapiens (human),"chr7:42,926,661-42,932,206-",174
101,"hsa_ires_00434.1|Homo sapiens (human)|chr1:26,900,298-26,900,471-","hsa_ires_00434.1|Homo sapiens (human)|chr1:26,900,298-26,900,471-",,Homo sapiens (human),"chr1:26,900,298-26,900,471-",174
102,"hsa_ires_00466.1|Homo sapiens (human)|chr3:57,073,521-57,073,694+","hsa_ires_00466.1|Homo sapiens (human)|chr3:57,073,521-57,073,694+",,Homo sapiens (human),"chr3:57,073,521-57,073,694+",174
103,"hsa_ires_00498.1|Homo sapiens (human)|chr13:99,501,433-99,501,606+","hsa_ires_00498.1|Homo sapiens (human)|chr13:99,501,433-99,501,606+",,Homo sapiens (human),"chr13:99,501,433-99,501,606+",174
104,"hsa_ires_00530.1|Homo sapiens (human)|chr2:177,234,269-177,263,573-","hsa_ires_00530.1|Homo sapiens (human)|chr2:177,234,269-177,263,573-",,Homo sapiens (human),"chr2:177,234,269-177,263,573-",174
105,"hsa_ires_00562.1|Homo sapiens (human)|chr17:39,917,317-39,917,490-","hsa_ires_00562.1|Homo sapiens (human)|chr17:39,917,317-39,917,490-",,Homo sapiens (human),"chr17:39,917,317-39,917,490-",174
106,"hsa_ires_00594.1|Homo sapiens (human)|chr18:26,862,563-26,862,910-","hsa_ires_00594.1|Homo sapiens (human)|chr18:26,862,563-26,862,910-",,Homo sapiens (human),"chr18:26,862,563-26,862,910-",348
107,hsa_ires_00626.1|Homo sapiens (human)|NA,hsa_ires_00626.1|Homo sapiens (human)|NA,,Homo sapiens (human),Homo sapiens human,75
108,"hsa_ires_00658.1|Homo sapiens (human)|chr3:69,936,642-69,936,722+","hsa_ires_00658.1|Homo sapiens (human)|chr3:69,936,642-69,936,722+",,Homo sapiens (human),"chr3:69,936,642-69,936,722+",81
109,"hsa_ires_00690.1|Homo sapiens (human)|chr13:20,189,591-20,192,943-","hsa_ires_00690.1|Homo sapiens (human)|chr13:20,189,591-20,192,943-",,Homo sapiens (human),"chr13:20,189,591-20,192,943-",174
110,mmu_ires_00030.1|Mus musculus (house mouse),mmu_ires_00030.1|Mus musculus (house mouse),,Mus musculus (mouse),,93
111,mouse_hsa_ires_00065.1 | chr7:126359360-126359480(-) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),mouse_hsa_ires_00065.1 | chr7:126359360-126359480(-) | RF00261 | IRES_L-myc | internal ribosome entry site (IRES),RF00261,Mus musculus (mouse),chr7:126359360-126359480-,121
112,mouse_CM000673.2:30012935-30012676 | chr2:106749136-106749252(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),mouse_CM000673.2:30012935-30012676 | chr2:106749136-106749252(-) | RF00223 | IRES_Bip | internal ribosome entry site (IRES),RF00223,Mus musculus (mouse),chr2:106749136-106749252-,117
113,"DQ279927.1:55269-55485 Epstein-Barr virus (strain AG876) IRES_EBNA Human herpesvirus 4 strain AG876, complete genome.","DQ279927.1:55269-55485 Epstein-Barr virus (strain AG876) IRES_EBNA Human herpesvirus 4 strain AG876, complete genome.",RF00448,Virus,,217
114,ERAV_245-961|Equine rhinitis A virus 1,ERAV_245-961|Equine rhinitis A virus 1,RF00210,Equine rhinitis A virus 1,,712
114,ERAV_245-961|Equine rhinitis A virus 1,vir_ires_00500.1,RF00210,Virus,,717
115,TMEV|Theiler\'s encephalomyelitis virus,TMEV|Theiler\'s encephalomyelitis virus,RF00210,Theiler\'s encephalomyelitis virus,,1040
116,vir_ires_00260.1,vir_ires_00260.1,,Virus,,174
117,vir_ires_00420.1,vir_ires_00420.1,,Virus,,174
118,vir_ires_00167.1,vir_ires_00167.1,,Virus,,174
119,vir_ires_00037.1,vir_ires_00037.1,RF00229,Virus,,174
120,vir_ires_00496.1,vir_ires_00496.1,,Virus,,385
120,vir_ires_00496.1,"M31182.1:1-385 Bovine viral diarrhea virus 1  IRES_Pesti Bovine viral diarrhea virus 1-NADL, complete genome.",,Virus,,385
120,vir_ires_00496.1,BVDV1_1-385|Bovine viral diarrhea virus 1,,Bovine viral diarrhea virus 1,,385
120,vir_ires_00496.1,BVDV1_1-385|Bovine viral diarrhea virus 1,,Bovine viral diarrhea virus 1,,385
121,vir_ires_00110.1,vir_ires_00110.1,,Virus,,174
122,vir_ires_00468.1,vir_ires_00468.1,,Virus,,174
123,vir_ires_00126.1,vir_ires_00126.1,,Virus,,174
124,vir_ires_00351.1,vir_ires_00351.1,,Virus,,174
125,vir_ires_00245.1,vir_ires_00245.1,,Virus,,174
125,vir_ires_00245.1,DCV_IGR|Drosophila C virus,RF00458,Drosophila C virus,,189
126,vir_ires_00207.1,vir_ires_00207.1,,Virus,,174
127,vir_ires_00363.1,vir_ires_00363.1,,Virus,,174
128,vir_ires_00290.1,vir_ires_00290.1,,Virus,,174
129,vir_ires_00539.1,vir_ires_00539.1,,Virus,,289
130,"hsa_ires_00019.1|Homo sapiens (human)|chr2:233,917,398-233,930,684+","hsa_ires_00019.1|Homo sapiens (human)|chr2:233,917,398-233,930,684+",,Homo sapiens (human),"chr2:233,917,398-233,930,684+",174
131,"hsa_ires_00051.1|Homo sapiens (human)|chr1:154,272,563-154,272,736+","hsa_ires_00051.1|Homo sapiens (human)|chr1:154,272,563-154,272,736+",,Homo sapiens (human),"chr1:154,272,563-154,272,736+",174
132,"hsa_ires_00083.1|Homo sapiens (human)|chr7:101,629,119-101,629,292-","hsa_ires_00083.1|Homo sapiens (human)|chr7:101,629,119-101,629,292-",,Homo sapiens (human),"chr7:101,629,119-101,629,292-",174
133,"hsa_ires_00115.1|Homo sapiens (human)|chr2:219,158,335-219,160,865-","hsa_ires_00115.1|Homo sapiens (human)|chr2:219,158,335-219,160,865-",,Homo sapiens (human),"chr2:219,158,335-219,160,865-",174
134,"hsa_ires_00179.1|Homo sapiens (human)|chr22:38,110,496-38,110,669-","hsa_ires_00179.1|Homo sapiens (human)|chr22:38,110,496-38,110,669-",,Homo sapiens (human),"chr22:38,110,496-38,110,669-",174
