Cluster Num	Member	RFAM family	Organism	Location	Length
623	"CM000663.2:39902015-39901795 Homo sapiens IRES_L-myc Homo sapiens chromosome 1, GRCh38 reference primary assembly."		Homo sapiens (human)		221
625	"hsa_ires_00670.1|Homo sapiens (human)|chr20:37,346,154-37,384,186+"		Homo sapiens (human)	"chr20:37,346,154-37,384,186+"	381
648	"hsa_ires_00031.1|Homo sapiens (human)|chr12:27,969,495-27,969,832-"		Homo sapiens (human)	"chr12:27,969,495-27,969,832-"	174
666	"hsa_ires_00639.1|Homo sapiens (human)|chr2:177,264,532-177,264,659-"	RF02531	Homo sapiens (human)	"chr2:177,264,532-177,264,659-"	128
695	"hsa_ires_00128.1|Homo sapiens (human)|chr12:55,331,701-55,331,874+"		Homo sapiens (human)	"chr12:55,331,701-55,331,874+"	174
702	"hsa_ires_00352.1|Homo sapiens (human)|chr8:27,471,059-27,478,861-"		Homo sapiens (human)	"chr8:27,471,059-27,478,861-"	174
703	"hsa_ires_00384.1|Homo sapiens (human)|chr1:156,246,732-156,247,982-"		Homo sapiens (human)	"chr1:156,246,732-156,247,982-"	174
704	"hsa_ires_00416.1|Homo sapiens (human)|chr2:74,502,860-74,503,033-"		Homo sapiens (human)	"chr2:74,502,860-74,503,033-"	174
710	"hsa_ires_00608.1|Homo sapiens (human)|chr17:2,400,753-2,400,877-"	RF00457	Homo sapiens (human)	"chr17:2,400,753-2,400,877-"	125
711	"hsa_ires_00640.1|Homo sapiens (human)|chr9:84,670,472-84,670,748+"		Homo sapiens (human)	"chr9:84,670,472-84,670,748+"	277
737	"hsa_ires_00065.1|Homo sapiens (human)|chr16:30,064,353-30,067,254+"		Homo sapiens (human)	"chr16:30,064,353-30,067,254+"	174
751	"hsa_ires_00513.1|Homo sapiens (human)|chr22:42,636,799-42,646,950-"		Homo sapiens (human)	"chr22:42,636,799-42,646,950-"	174
783	"hsa_ires_00130.1|Homo sapiens (human)|chr12:55,365,111-55,365,284+"		Homo sapiens (human)	"chr12:55,365,111-55,365,284+"	174
793	"hsa_ires_00450.1|Homo sapiens (human)|chr21:42,863,455-42,873,634-"		Homo sapiens (human)	"chr21:42,863,455-42,873,634-"	174
829	"hsa_ires_00227.1|Homo sapiens (human)|chr1:156,153,620-156,154,578+"		Homo sapiens (human)	"chr1:156,153,620-156,154,578+"	174
834	"hsa_ires_00387.1|Homo sapiens (human)|chr17:57,257,013-57,257,513+"		Homo sapiens (human)	"chr17:57,257,013-57,257,513+"	174
869	"hsa_ires_00068.1|Homo sapiens (human)|chr7:20,785,763-20,786,822-"		Homo sapiens (human)	"chr7:20,785,763-20,786,822-"	174
885	"hsa_ires_00612.1|Homo sapiens (human)|chr22:39,244,116-39,244,511-"		Homo sapiens (human)	"chr22:39,244,116-39,244,511-"	396
922	"hsa_ires_00453.1|Homo sapiens (human)|chr3:51,961,241-51,962,050-"		Homo sapiens (human)	"chr3:51,961,241-51,962,050-"	174
963	"hsa_ires_00486.1|Homo sapiens (human)|chr16:84,180,303-84,181,331-"		Homo sapiens (human)	"chr16:84,180,303-84,181,331-"	174
1009	"hsa_ires_00551.1|Homo sapiens (human)|chr3:51,995,064-51,995,942-"		Homo sapiens (human)	"chr3:51,995,064-51,995,942-"	174
1043	"hsa_ires_00200.1|Homo sapiens (human)|chr22:39,901,171-39,947,106+"		Homo sapiens (human)	"chr22:39,901,171-39,947,106+"	174
1045	"hsa_ires_00264.1|Homo sapiens (human)|chr6:33,417,669-33,417,984-"		Homo sapiens (human)	"chr6:33,417,669-33,417,984-"	174
1076	"CM000668.2:121435649-121435848 Homo sapiens IRES_Cx43 Homo sapiens chromosome 6, GRCh38 reference primary assembly."	RF00487	Homo sapiens (human)		200
1078	"hsa_ires_00009.1|Homo sapiens (human)|chr6:53,070,973-53,073,483+"		Homo sapiens (human)	"chr6:53,070,973-53,073,483+"	174
1119	"hsa_ires_00042.1|Homo sapiens (human)|chr6:53,655,240-53,665,708-"		Homo sapiens (human)	"chr6:53,655,240-53,665,708-"	174
1159	"CM000667.2:142697800-142697634 Homo sapiens IRES_FGF1 Homo sapiens chromosome 5, GRCh38 reference primary assembly."	RF00387	Homo sapiens (human)		167
1160	hSNM1|Homo sapiens		Homo sapiens (human)		918
1160	"hsa_ires_00603.1|Homo sapiens (human)|chr10:113,853,183-113,854,100-"		Homo sapiens (human)	"chr10:113,853,183-113,854,100-"	918
1176	"hsa_ires_00491.1|Homo sapiens (human)|chr11:117,918,832-117,929,453-"		Homo sapiens (human)	"chr11:117,918,832-117,929,453-"	174
1203	"CM000676.2:61695528-61695807 Homo sapiens IRES_HIF1 Homo sapiens chromosome 14, GRCh38 reference primary assembly."		Homo sapiens (human)		280
1222	"hsa_ires_00588.1|Homo sapiens (human)|chr9:120,926,645-120,926,715-"		Homo sapiens (human)	"chr9:120,926,645-120,926,715-"	71
1251	"hsa_ires_00077.1|Homo sapiens (human)|chr4:38,775,549-38,782,990-"		Homo sapiens (human)	"chr4:38,775,549-38,782,990-"	174
1254	"hsa_ires_00173.1|Homo sapiens (human)|chr17:59,155,637-59,169,752+"		Homo sapiens (human)	"chr17:59,155,637-59,169,752+"	174
1263	"hsa_ires_00461.1|Homo sapiens (human)|chr19:15,410,533-15,419,022-"		Homo sapiens (human)	"chr19:15,410,533-15,419,022-"	174
1269	"hsa_ires_00653.1|Homo sapiens (human)|chr20:56,388,198-56,392,295-"		Homo sapiens (human)	"chr20:56,388,198-56,392,295-"	257
1307	"hsa_ires_00526.1|Homo sapiens (human)|chr11:71,582,702-71,582,875-"		Homo sapiens (human)	"chr11:71,582,702-71,582,875-"	174
1312	"hsa_ires_00686.1|Homo sapiens (human)|chr1:3,652,565-3,707,587+"		Homo sapiens (human)	"chr1:3,652,565-3,707,587+"	335
1337	"hsa_ires_00047.1|Homo sapiens (human)|chr1:44,739,818-44,739,991+"		Homo sapiens (human)	"chr1:44,739,818-44,739,991+"	174
1341	"hsa_ires_00175.1|Homo sapiens (human)|chr16:80,540,957-80,543,326+"		Homo sapiens (human)	"chr16:80,540,957-80,543,326+"	174
1342	"hsa_ires_00207.1|Homo sapiens (human)|chr2:74,374,353-74,374,526-"		Homo sapiens (human)	"chr2:74,374,353-74,374,526-"	174
1345	"hsa_ires_00303.1|Homo sapiens (human)|chr20:56,388,198-56,392,226-"		Homo sapiens (human)	"chr20:56,388,198-56,392,226-"	174
1359	"hsa_ires_00672.1|Homo sapiens (human)|chr6:45,328,317-45,328,729+"		Homo sapiens (human)	"chr6:45,328,317-45,328,729+"	213
