NCBI_tax_ID,accession,bit_score,region_end,region_start,rfam_id,seq_description,species
1922870,KX883971.1,122.5,5893,5699,RF00458,"Hubei diptera virus 1 strain SCM51289 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei diptera virus 1
1923742,KX884293.1,121.9,7471,7275,RF00458,"Wuhan millipede virus 3 strain WHWG56524 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wuhan millipede virus 3
1923104,KX883736.1,113.3,5793,5584,RF00458,"Hubei picorna-like virus 24 strain WGML142000 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei picorna-like virus 24
1923094,KX883290.1,109.5,7013,6822,RF00458,"Hubei picorna-like virus 15 strain arthropodmix13755 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei picorna-like virus 15
2848912,MW864599.1,105,4540,4344,RF00458,"MW864599.1 Anisopteromalus calandrae positive-strand RNA virus 1, complete genome",Anisopteromalus calandrae positive-strand RNA virus 1
1923451,KX883654.1,87.4,5927,5717,RF00458,"Shahe picorna-like virus 8 strain SHWC12398 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Shahe picorna-like virus 8
1922638,KX883372.1,60.4,6317,6126,RF00458,"Beihai picorna-like virus 91 strain BHJJX25930 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Beihai picorna-like virus 91
1923485,KX884315.1,58.4,5785,5604,RF00458,"Wenling crustacean virus 2 strain WLJQ102135 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wenling crustacean virus 2
1923441,KX883663.1,57.6,6306,6128,RF00458,"Shahe picorna-like virus 11 strain SHWC13613 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Shahe picorna-like virus 11
1923652,KX883979.1,53.9,6308,6097,RF00458,"Wenzhou shrimp virus 5 strain shrimp14323 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wenzhou shrimp virus 5
1923653,KX884348.1,53,7293,7089,RF00458,"Wenzhou shrimp virus 6 strain WZRBX43423 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Wenzhou shrimp virus 6
1922784,KX884554.1,51.3,5348,5201,RF00458,"Changjiang picorna-like virus 11 strain CJLX30672 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Changjiang picorna-like virus 11
1922626,KX883338.1,46.1,5590,5405,RF00458,"Beihai picorna-like virus 79 strain BHBJDX18844 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Beihai picorna-like virus 79
1922628,KX884478.1,46.1,5567,5388,RF00458,"Beihai picorna-like virus 80 strain BHZC36213 hypothetical protein 2 genes, complete cds.",Beihai picorna-like virus 80
1923093,KX883934.1,44.5,6467,6306,RF00458,"Hubei picorna-like virus 14 strain QTM26191 hypothetical protein 1 and hypothetical protein 2 genes, complete cds.",Hubei picorna-like virus 14
