accession,bits_score,start,end,description,species,tax_id
NW_011516269.1,200.2,14406099,14406301,"NW_011516269.1 Camelus bactrianus breed Alxa unplaced genomic scaffold, Ca_bactrianus_MBC_1.0 scaffold37, whole genome shotgun sequence",Camelus bactrianus (Bactrian camel),9837
NW_021964168.1,200.2,35494410,35494208,"NW_021964168.1 Vicugna pacos isolate Carlotta (AHFN-0088) chromosome 8 unlocalized genomic scaffold, VicPac3.1 ScfyRBE_77237;HRSCAF=79087, whole genome shotgun sequence",Vicugna pacos (alpaca),30538
CM001648.1,198.8,123065231,123065033,"Nomascus leucogenys chromosome 2, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM001649.1,197.3,108751194,108751395,"Nomascus leucogenys chromosome 3, whole genome shotgun sequence.",Nomascus leucogenys (Northern white-cheeked gibbon),61853
CM009268.2,197,119722374,119722573,"CM009268.2 Pongo abelii isolate Susie chromosome 6, whole genome shotgun sequence",Pongo abelii (Sumatran orangutan),9601
KL203852.1,196.8,193935,194138,"KL203852.1 Nannospalax galili isolate Female #2095 unplaced genomic scaffold scaffold2045, whole genome shotgun sequence",Nannospalax galili (Upper Galilee mountains blind mole rat),1026970
CM000668.2,193.6,121435649,121435848,"Homo sapiens chromosome 6, GRCh38 reference primary assembly.",Homo sapiens (human),9606
CM003389.1,193.6,123348811,123349010,"CM003389.1 Pan paniscus isolate Ulindi chromosome 6, whole genome shotgun sequence",Pan paniscus (pygmy chimpanzee),9597
NW_004801642.1,192.4,13639991,13640195,"NW_004801642.1 Mesocricetus auratus isolate Golden Hamster female 1 unplaced genomic scaffold, MesAur1.0 scaffold00039, whole genome shotgun sequence",Mesocricetus auratus (golden hamster),10036
CM001954.1,191.5,52410334,52410135,"Chlorocebus sabaeus isolate 1994-021 chromosome 13, whole genome shotgun sequence.",Chlorocebus sabaeus,60711
CM009953.1,191.5,146041749,146041948,"CM009953.1 Theropithecus gelada isolate Dixy chromosome 4, whole genome shotgun sequence",Theropithecus gelada (gelada baboon),9565
CM018185.2,191.5,141765609,141765410,"CM018185.2 Papio anubis isolate 15944 chromosome 6, whole genome shotgun sequence",Papio anubis (Olive baboon),9555
KN975747.1,191.5,1325578,1325379,"KN975747.1 Mandrillus leucophaeus isolate KB7577 unplaced genomic scaffold Scaffold351, whole genome shotgun sequence",Mandrillus leucophaeus (drill),9568
KN980641.1,191.5,3598590,3598391,"KN980641.1 Colobus angolensis palliatus isolate OR3802 unplaced genomic scaffold Scaffold213, whole genome shotgun sequence",Colobus angolensis palliatus,336983
KQ012619.1,191.5,14986378,14986577,"KQ012619.1 Cercocebus atys isolate FAK unplaced genomic scaffold Scaffold66, whole genome shotgun sequence",Cercocebus atys (sooty mangabey),9531
KQ021515.1,191.5,2851776,2851580,"KQ021515.1 Propithecus coquereli isolate 6110/MARCELLA unplaced genomic scaffold Scaffold200, whole genome shotgun sequence",Propithecus coquereli (Coquerel's sifaka),379532
GL873521.1,191.4,16803265,16803459,"Otolemur garnettii unplaced genomic scaffold scaffold00002, whole genome shotgun sequence.",Otolemur garnettii (small-eared galago),30611
MPIZ01002149.1,191.2,487505,487699,"MPIZ01002149.1 Prolemur simus strain KIAN8.4 scaffold2149, whole genome shotgun sequence",Prolemur simus (greater bamboo lemur),1328070
KV389556.1,189.8,1606406,1606207,"KV389556.1 Cebus capucinus imitator isolate Cc_AM_T3 unplaced genomic scaffold Scaffold130, whole genome shotgun sequence",Cebus imitator (Panamanian white-faced capuchin),2715852
NW_022436946.1,189.8,28431730,28431531,"NW_022436946.1 Sapajus apella isolate SASKATOON/1434 unplaced genomic scaffold, GSC_monkey_1.0 scaffold6, whole genome shotgun sequence",Cebus apella (Tufted capuchin),9515
KN297366.1,189.7,3058601,3058402,"KN297366.1 Rhinopithecus roxellana isolate Xiao Hai unplaced genomic scaffold ENSRROG033939, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
CM019244.1,189,1084147,1083948,"CM019244.1 Piliocolobus tephrosceles isolate RC106 chromosome 5, whole genome shotgun sequence",Piliocolobus tephrosceles (Ugandan red Colobus),591936
CM001589.2,188.3,16814245,16814042,"Ovis aries breed Texel chromosome 8, whole genome shotgun sequence.",Ovis aries (sheep),9940
CM004570.1,188.3,16988921,16988718,"CM004570.1 Capra hircus breed San Clemente chromosome 9, whole genome shotgun sequence",Capra hircus (goat),9925
PVHU020000109.1,188.3,9209518,9209315,"PVHU020000109.1 Moschus moschiferus isolate BS20 Scw3uUT_90;HRSCAF=50851_2, whole genome shotgun sequence",Moschus moschiferus (Siberian musk deer),68415
CABDUW010000353.1,187.7,827757,827958,"CABDUW010000353.1 Marmota monax genome assembly, contig: monax5_s00353, whole genome shotgun sequence",Marmota monax (woodchuck),9995
CZRN02000001.1,187.7,39270873,39271074,"CZRN02000001.1 Marmota marmota marmota genome assembly, contig: chr10_part1, whole genome shotgun sequence",Marmota marmota marmota (Alpine marmot),9994
CM000320.3,187.5,125157258,125157457,"Pan troglodytes isolate Yerkes chimp pedigree #C0471 (Clint) chromosome 6, whole genome shotgun sequence.",Pan troglodytes (chimpanzee),9598
FR853099.2,187.5,123719182,123719381,"Gorilla gorilla gorilla genomic chromosome, chr6, whole genome shotgun sequence",Gorilla gorilla gorilla (western lowland gorilla),9595
QVIC01000134.1,187.5,4080821,4081021,"QVIC01000134.1 Urocitellus parryii isolate AGS 11-09-20 scaffold_133, whole genome shotgun sequence",Spermophilus parryii (Arctic ground squirrel),9999
JABR01185707.1,186.6,650,835,"JABR01185707.1 Rhinopithecus roxellana isolate Xiao Hai contig185857, whole genome shotgun sequence",Rhinopithecus roxellana (golden snub-nosed monkey),61622
JH378154.1,186.4,1074601,1074800,"JH378154.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00050, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
CM007666.1,186.3,81076566,81076765,"CM007666.1 Microcebus murinus isolate mixed chromosome 6, whole genome shotgun sequence",Microcebus murinus (gray mouse lemur),30608
KZ205230.1,186.3,3192112,3191913,"KZ205230.1 Aotus nancymaae isolate 86115 unplaced genomic scaffold Scaffold572.4, whole genome shotgun sequence",Aotus nancymaae (Ma's night monkey),37293
CM016699.1,186.1,62647010,62647213,"CM016699.1 Bos grunniens isolate yakHY00 ecotype maiwa chromosome 10, whole genome shotgun sequence",Bos grunniens (domestic yak),30521
JH880591.1,186.1,675668,675871,"JH880591.1 Bos grunniens mutus unplaced genomic scaffold scaffold182_1, whole genome shotgun sequence",Bos grunniens mutus,72004
NW_011495034.1,186.1,9511577,9511374,"NW_011495034.1 Bison bison bison isolate TAMUID 2011002044 unplaced genomic scaffold, Bison_UMD1.0 scf7180017864473, whole genome shotgun sequence",Bison bison bison (north american plains bison),43346
JACASF010000008.1,185.9,76434737,76434942,"JACASF010000008.1 Molossus molossus isolate mMolMol1 scaffold_m16_p_8, whole genome shotgun sequence",Molossus molossus (Pallas's mastiff bat),27622
MCGX01010855.1,185.8,1091075,1090877,"MCGX01010855.1 Rhinopithecus bieti isolate Rb0 scaffold_30957, whole genome shotgun sequence",Rhinopithecus bieti (Black snub-nosed monkey),61621
CM021918.1,185.8,123974511,123974710,"CM021918.1 Callithrix jacchus isolate mCalJac1 chromosome 4, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
CM008176.2,185.6,29761666,29761463,"CM008176.2 Bos taurus isolate L1 Dominette 01449 registration number 42190680 breed Hereford chromosome 9, whole genome shotgun sequence",Bos taurus (cattle),9913
CM011782.1,185.6,78354391,78354594,"CM011782.1 Bos indicus x Bos taurus breed Angus x Brahman F1 hybrid chromosome 9, whole genome shotgun sequence",Bos indicus x Bos taurus (hybrid cattle),30522
NC_032658.1,185.6,31071628,31071425,"NC_032658.1 Bos indicus isolate QUIL7308 breed Nelore chromosome 9, Bos_indicus_1.0, whole genome shotgun sequence",Bos indicus,9915
KB370589.1,185.1,1430634,1430432,"KB370589.1 Tupaia chinensis unplaced genomic scaffold Scaffold149798_1, whole genome shotgun sequence",Tupaia chinensis (Chinese tree shrew),246437
KZ295113.1,185.1,273149,272949,"KZ295113.1 Spermophilus dauricus unplaced genomic scaffold scaffold109, whole genome shotgun sequence",Spermophilus dauricus (Daurian ground squirrel),99837
CM014339.1,184.8,24946577,24946775,"CM014339.1 Macaca mulatta isolate AG07107 chromosome 4, whole genome shotgun sequence",Macaca mulatta (Rhesus monkey),9544
CM021942.1,184.8,25322073,25322271,"CM021942.1 Macaca fascicularis isolate cy0333 breed Mauritian cynomolgus macaque chromosome 4, whole genome shotgun sequence",Macaca fascicularis (crab-eating macaque),9541
KQ006731.1,184.8,6825229,6825427,"KQ006731.1 Macaca nemestrina isolate M95218 unplaced genomic scaffold Scaffold30, whole genome shotgun sequence",Macaca nemestrina (pig-tailed macaque),9545
JAATJV010161600.1,184,1034778,1034578,"JAATJV010161600.1 Sciurus carolinensis isolate SUZIE scaffold1249, whole genome shotgun sequence",Sciurus carolinensis (gray squirrel),30640
LR738617.1,184,44085618,44085418,"LR738617.1 Sciurus vulgaris genome assembly, chromosome: 7",Sciurus vulgaris (Eurasian red squirrel),55149
FNWR01000320.1,182,1494991,1494797,"FNWR01000320.1 Neovison vison genome assembly, contig: scaffold320, whole genome shotgun sequence",Neovison vison,452646
LNAT02000343.1,182,70316,70510,"LNAT02000343.1 Ailuropoda melanoleuca isolate Jingjing unplaced-scaffold323, whole genome shotgun sequence",Ailuropoda melanoleuca (giant panda),9646
LZNR01001892.1,182,170963,171157,"LZNR01001892.1 Ursus americanus isolate MABB319796 Contig1895, whole genome shotgun sequence",Ursus americanus (American black bear),9643
NW_004450454.1,182,59128,59322,"NW_004450454.1 Odobenus rosmarus divergens isolate Ivan unplaced genomic scaffold, Oros_1.0 Scaffold191, whole genome shotgun sequence",Odobenus rosmarus divergens (Pacific walrus),9708
NW_024423675.1,182,30344356,30344550,"NW_024423675.1 Ursus maritimus isolate PB19 unplaced genomic scaffold, ASM1731132v1 scaffold_13, whole genome shotgun sequence",Ursus maritimus (polar bear),29073
JACASE010000001.1,181.6,153227811,153228012,"JACASE010000001.1 Rousettus aegyptiacus isolate mRouAeg1 scaffold_m13_p_1, whole genome shotgun sequence",Rousettus aegyptiacus (Egyptian rousette),9407
NW_006501193.1,179.4,4582417,4582215,"NW_006501193.1 Peromyscus maniculatus bairdii unplaced genomic scaffold, Pman_1.0 Scaffold157, whole genome shotgun sequence",Peromyscus maniculatus bairdii (prairie deer mouse),230844
CAAGRJ010001507.1,179.1,327975,327781,"CAAGRJ010001507.1 Lynx pardinus genome assembly, contig: lp23s26159, whole genome shotgun sequence",Lynx pardinus (Spanish lynx),191816
CM001382.3,179.1,112188468,112188662,"Felis catus isolate Cinnamon breed Abyssinian chromosome B2, whole genome shotgun sequence.",Felis catus (domestic cat),9685
CM017333.1,179.1,110026698,110026892,"CM017333.1 Lynx canadensis isolate LIC74 chromosome B2, whole genome shotgun sequence",Lynx canadensis (Canada lynx),61383
CM018465.1,179.1,76731009,76731203,"CM018465.1 Panthera leo isolate Brooke chromosome B3, whole genome shotgun sequence",Panthera leo (lion),9689
KE721714.1,179.1,12928530,12928336,"KE721714.1 Panthera tigris altaica isolate TaeGuk unplaced genomic scaffold scaffold1500, whole genome shotgun sequence",Panthera tigris altaica (Amur tiger),74533
NW_020339445.1,179.1,40784338,40784144,"NW_020339445.1 Puma concolor isolate SC36_Marlon unplaced genomic scaffold, PumCon1.0 scaffold_417, whole genome shotgun sequence",Puma concolor (puma),9696
NW_020834738.1,179.1,42156178,42155984,"NW_020834738.1 Acinonyx jubatus isolate Rico unplaced genomic scaffold, Aci_jub_2 Primary Assembly Aci_jub_2_ph1_scaffold12, whole genome shotgun sequence",Acinonyx jubatus (cheetah),32536
CM018496.1,179,31658543,31658747,"CM018496.1 Muntiacus reevesi isolate UCam_UCB_Mr chromosome 14, whole genome shotgun sequence",Muntiacus reevesi (Chinese muntjac),9886
NW_018330039.1,179,771409,771205,"NW_018330039.1 Odocoileus virginianus texanus isolate animal Pink-7 unplaced genomic scaffold, Ovir.te_1.0 scaffold128, whole genome shotgun sequence",Odocoileus virginianus texanus,9880
CABDUW010000353.1,178.9,756463,756663,"CABDUW010000353.1 Marmota monax genome assembly, contig: monax5_s00353, whole genome shotgun sequence",Marmota monax (woodchuck),9995
NC_058410.1,178.5,41497144,41496950,"NC_058410.1 Neomonachus schauinslandi chromosome 8, ASM220157v2, whole genome shotgun sequence",Monachus schauinslandi (Hawaiian monk seal),29088
NW_006921873.1,178.5,2338114,2338314,"NW_006921873.1 Orycteropus afer afer isolate SDZICR_OR568_19922 unplaced genomic scaffold, OryAfe1.0 scaffold00286, whole genome shotgun sequence",Orycteropus afer afer,1230840
NW_025422015.1,177.7,31402988,31402794,"NW_025422015.1 Mustela putorius furo isolate JIRA1106 unplaced genomic scaffold, ASM1176430v1.1 tig00003863_pilon_pilon_pilon, whole genome shotgun sequence",Mustela putorius furo (domestic ferret),9669
KB031156.1,177.6,13436952,13437153,"KB031156.1 Pteropus alecto unplaced genomic scaffold scaffold79, whole genome shotgun sequence",Pteropus alecto (black flying fox),9402
CM014228.1,177.3,70974191,70974395,"CM014228.1 Rhinolophus ferrumequinum isolate MPI-CBG mRhiFer1 chromosome 3, whole genome shotgun sequence",Rhinolophus ferrumequinum (greater horseshoe bat),59479
CAJHUB010000775.1,177.1,27157370,27157563,"CAJHUB010000775.1 Nyctereutes procyonoides isolate TBG_1078 genome assembly, contig: Nypro797, whole genome shotgun sequence",Nyctereutes procyonoides (raccoon dog),34880
CM025100.1,177.1,61130187,61130380,"CM025100.1 Canis lupus familiaris isolate SID07034 breed Labrador retriever chromosome 1, whole genome shotgun sequence",Canis lupus familiaris (dog),9615
CM025457.1,177.1,60977557,60977750,"CM025457.1 Canis lupus dingo isolate Sandy chromosome 1, whole genome shotgun sequence",Canis lupus dingo (dingo),286419
NW_011888824.1,177.1,8618759,8618558,"NW_011888824.1 Pteropus vampyrus isolate Shadow unplaced genomic scaffold, Pvam_2.0 Scaffold43, whole genome shotgun sequence",Pteropus vampyrus (large flying fox),132908
CYRY02007599.1,177,188290,188484,"CYRY02007599.1 Gulo gulo genome assembly, contig: scaffold1684, whole genome shotgun sequence",Gulo gulo (wolverine),48420
JAATJU010023325.1,177,367421,367619,"JAATJU010023325.1 Microtus ochrogaster isolate LTLLF scaffold408, whole genome shotgun sequence",Microtus ochrogaster (prairie vole),79684
NW_006922536.1,176.4,450690,450490,"NW_006922536.1 Orycteropus afer afer isolate SDZICR_OR568_19922 unplaced genomic scaffold, OryAfe1.0 scaffold00949, whole genome shotgun sequence",Orycteropus afer afer,1230840
KZ295113.1,176.2,183642,183442,"KZ295113.1 Spermophilus dauricus unplaced genomic scaffold scaffold109, whole genome shotgun sequence",Spermophilus dauricus (Daurian ground squirrel),99837
KL201424.1,176.1,567871,567668,"KL201424.1 Nannospalax galili isolate Female #2095 unplaced genomic scaffold scaffold138, whole genome shotgun sequence",Nannospalax galili (Upper Galilee mountains blind mole rat),1026970
NW_006383109.1,175.3,1155718,1155524,"NW_006383109.1 Leptonychotes weddellii isolate WS11-02 unplaced genomic scaffold, LepWed1.0 scaffold00069, whole genome shotgun sequence",Leptonychotes weddellii (Weddell seal),9713
JAGFMF010011861.1,175.2,15283364,15283163,"JAGFMF010011861.1 Galemys pyrenaicus isolate IBE-C5619 2611541, whole genome shotgun sequence",Galemys pyrenaicus,202257
NW_020312805.1,174.8,34737600,34737799,"NW_020312805.1 Callorhinus ursinus isolate GAN/ISIS: 27379988/994484 unplaced genomic scaffold, ASM326570v1 scaffold49, whole genome shotgun sequence",Callorhinus ursinus (northern fur seal),34884
VOAJ01002562.1,173.8,1425418,1425614,"VOAJ01002562.1 Crocuta crocuta isolate KB4526 scaffold305, whole genome shotgun sequence",Crocuta crocuta (spotted hyena),9678
NW_004444034.1,173.5,6065408,6065209,"NW_004444034.1 Trichechus manatus latirostris isolate Lorelei unplaced genomic scaffold, TriManLat1.0 scaffold00098, whole genome shotgun sequence",Trichechus manatus latirostris,127582
JH393468.1,172.9,3920038,3920238,"JH393468.1 Spermophilus tridecemlineatus unplaced genomic scaffold scaffold00190, whole genome shotgun sequence",Spermophilus tridecemlineatus (thirteen-lined ground squirrel),43179
CM008035.1,172.6,38300197,38299993,"CM008035.1 Cervus elaphus hippelaphus isolate Hungarian chromosome 28, whole genome shotgun sequence",Cervus elaphus hippelaphus,46360
GL010066.1,172.6,13039827,13039627,"Loxodonta africana unplaced genomic scaffold scaffold_39, whole genome shotgun sequence.",Loxodonta africana (African savanna elephant),9785
NTJE010220785.1,171.3,5299,5501,"NTJE010220785.1 Eschrichtius robustus isolate AM-GW-M-EMB-4M-20130531 contig_245100, whole genome shotgun sequence",Eschrichtius robustus (grey whale),9764
CM000812.5,171.1,41002136,41001952,"Sus scrofa isolate TJ Tabasco breed Duroc chromosome 1, whole genome shotgun sequence.",Sus scrofa (pig),9823
CZRN02000001.1,171.1,39184986,39185189,"CZRN02000001.1 Marmota marmota marmota genome assembly, contig: chr10_part1, whole genome shotgun sequence",Marmota marmota marmota (Alpine marmot),9994
NW_020356475.1,171,10465239,10465046,"NW_020356475.1 Vulpes vulpes strain TameXAggressive cross unplaced genomic scaffold, VulVul2.2 scaffold41, whole genome shotgun sequence",Vulpes vulpes (red fox),9627
CM016977.1,170.8,104696883,104697080,"CM016977.1 Suricata suricatta isolate VVHF042 chromosome 7, whole genome shotgun sequence",Suricata suricatta (meerkat),37032
CM000801.1,169.8,110516104,110516304,"Oryctolagus cuniculus chromosome 12, whole genome shotgun sequence.",Oryctolagus cuniculus (rabbit),9986
NW_006781997.1,169.5,1169640,1169437,"NW_006781997.1 Lipotes vexillifer unplaced genomic scaffold, Lipotes_vexillifer_v1 scaffold58, whole genome shotgun sequence",Lipotes vexillifer (Yangtze River dolphin),118797
SGJD01001473.1,167.4,262133,262336,"SGJD01001473.1 Balaenoptera physalus isolate FinWhale-01 scaffold1762, whole genome shotgun sequence",Balaenoptera physalus (Fin whale),9770
CM018167.1,166.8,40034638,40034434,"CM018167.1 Phocoena sinus isolate mPhoSin1 chromosome 12, whole genome shotgun sequence",Phocoena sinus (vaquita),42100
NW_020174698.1,166.8,13872996,13872792,"NW_020174698.1 Neophocaena asiaeorientalis asiaeorientalis breed wild unplaced genomic scaffold, Neophocaena_asiaeorientalis_V1 scaffold5, whole genome shotgun sequence",Neophocaena asiaeorientalis asiaeorientalis (yangtze finless porpoise),1706337
NC_041223.1,166.8,40853045,40852841,"NC_041223.1 Physeter catodon isolate SW-GA chromosome 10, ASM283717v5, whole genome shotgun sequence",Physeter catodon (sperm whale),9755
CM021219.1,166.7,27251573,27251368,"CM021219.1 Cervus hanglu yarkandensis isolate CEY-2017 chromosome 28, whole genome shotgun sequence",Cervus elaphus yarkandensis,84702
NW_022098072.1,166.6,31370596,31370800,"NW_022098072.1 Delphinapterus leucas isolate GAN/ISIS: 26980492/103006 unplaced genomic scaffold, ASM228892v3 scaffoldscaffold81, whole genome shotgun sequence",Delphinapterus leucas (beluga whale),9749
RWIC01000090.1,166.6,3135661,3135457,"RWIC01000090.1 Monodon monoceros isolate MVW Scaffold89, whole genome shotgun sequence",Monodon monoceros (narwhal),40151
NW_019154101.1,166.2,16450268,16450458,"NW_019154101.1 Enhydra lutris kenyoni isolate GAN:26980312 unplaced genomic scaffold, ASM228890v2 scaffoldscaffold17, whole genome shotgun sequence",Enhydra lutris kenyoni,391180
JH725440.1,165.3,45769429,45769229,"JH725440.1 Jaculus jaculus unplaced genomic scaffold scaffold00004, whole genome shotgun sequence",Jaculus jaculus (lesser Egyptian jerboa),51337
QWLN02013057.1,165,3294649,3294853,"QWLN02013057.1 Sousa chinensis isolate MY-2018 scaffold171.1, whole genome shotgun sequence",Sousa chinensis (Indo-pacific humpbacked dolphin),103600
PVHT020000077.1,165,32485357,32485180,"PVHT020000077.1 Catagonus wagneri isolate BS18 Sc2sB16_62;HRSCAF=24967_0, whole genome shotgun sequence",Catagonus wagneri (Chacoan peccary),51154
NC_041221.1,164.9,154106241,154106042,"NC_041221.1 Physeter catodon isolate SW-GA chromosome 8, ASM283717v5, whole genome shotgun sequence",Physeter catodon (sperm whale),9755
JH000864.1,164,405833,405641,"JH000864.1 Cricetulus griseus cell line CHO-K1 unplaced genomic scaffold scaffold2044, whole genome shotgun sequence",Cricetulus griseus (Chinese hamster),10029
JACDTQ010002174.1,163.9,30266810,30267012,"JACDTQ010002174.1 Diceros bicornis minor isolate SBR-YM ScS9zPn_2174, whole genome shotgun sequence",Diceros bicornis minor,77932
NC_045796.1,163,40830881,40830679,"NC_045796.1 Balaenoptera musculus isolate JJ_BM4_2016_0621 chromosome 12, mBalMus1.pri.v3, whole genome shotgun sequence",Balaenoptera musculus (Blue whale),9771
NC_047045.1,162,49933310,49933514,"NC_047045.1 Tursiops truncatus isolate mTurTru1 chromosome 12, mTurTru1.mat.Y, whole genome shotgun sequence",Tursiops truncatus (bottlenosed dolphin),9739
GL429824.1,161.2,4022237,4022444,"Myotis lucifugus unplaced genomic scaffold scaffold_57, whole genome shotgun sequence.",Myotis lucifugus (little brown bat),59463
KE161334.1,160.7,2745409,2745616,"KE161334.1 Myotis brandtii unplaced genomic scaffold scaffold123, whole genome shotgun sequence",Myotis brandtii,109478
CM009157.1,158.4,70188036,70188235,"CM009157.1 Equus caballus isolate Twilight breed thoroughbred chromosome 10, whole genome shotgun sequence",Equus caballus (horse),9796
CM027713.2,158.4,40932561,40932760,"CM027713.2 Equus asinus breed Dezhou chromosome 24, whole genome shotgun sequence",Equus asinus (ass),9793
JH378207.1,157.6,4242149,4241960,"JH378207.1 Saimiri boliviensis boliviensis unplaced genomic scaffold scaffold00103, whole genome shotgun sequence",Saimiri boliviensis boliviensis (Bolivian squirrel monkey),39432
GL010027.1,157.5,40629845,40629642,"Loxodonta africana unplaced genomic scaffold scaffold_0, whole genome shotgun sequence.",Loxodonta africana (African savanna elephant),9785
NW_018343979.1,154.4,1592829,1593031,"NW_018343979.1 Phascolarctos cinereus isolate Bilbo 61053 unplaced genomic scaffold, phaCin_unsw_v4.1 phaCin_unsw_v4.1.fa.scaf00028, whole genome shotgun sequence",Phascolarctos cinereus (koala),38626
NC_040906.2,153.6,176115229,176115428,"NC_040906.2 Phyllostomus discolor isolate MPI-MPIP mPhyDis1 chromosome 4, mPhyDis1.pri.v3, whole genome shotgun sequence",Phyllostomus discolor (pale spear-nosed bat),89673
NW_006791458.1,153.6,1812955,1813152,"NW_006791458.1 Lipotes vexillifer unplaced genomic scaffold, Lipotes_vexillifer_v1 scaffold95, whole genome shotgun sequence",Lipotes vexillifer (Yangtze River dolphin),118797
UNPS02006779.1,153.5,12110714,12110916,"UNPS02006779.1 Vombatus ursinus genome assembly, contig: WM1_genome_scaffold6779, whole genome shotgun sequence",Vombatus ursinus (common wombat),29139
NW_017889200.1,152.5,26751,26564,"NW_017889200.1 Castor canadensis isolate Ward unplaced genomic scaffold, C.can genome v1.0 scaffold_19874, whole genome shotgun sequence",Castor canadensis (American beaver),51338
CM021933.1,151.7,36028698,36028884,"CM021933.1 Callithrix jacchus isolate mCalJac1 chromosome 19, whole genome shotgun sequence",Callithrix jacchus (white-tufted-ear marmoset),9483
NW_006408545.1,151,832370,832169,"NW_006408545.1 Chrysochloris asiatica unplaced genomic scaffold, ChrAsi1.0 scaffold00027, whole genome shotgun sequence",Chrysochloris asiatica,185453
JAULJE010000010.1,147.3,14207314,14207518,"JAULJE010000010.1 Eptesicus nilssonii isolate BLF_Eptnil Scaffold_10, whole genome shotgun sequence",Eptesicus nilssoni (northern bat),59451
JABWUV010000007.1,147.1,14122725,14122935,"JABWUV010000007.1 Myotis myotis isolate mMyoMyo1 scaffold_m19_p_7, whole genome shotgun sequence",Myotis myotis,51298
NW_006804069.1,147.1,2692817,2693018,"NW_006804069.1 Erinaceus europaeus isolate Erinaceus europaeus_13Jul2011 unplaced genomic scaffold, EriEur2.0 scaffold00146, whole genome shotgun sequence",Erinaceus europaeus (western European hedgehog),9365
NW_017883428.1,146.3,38750,38566,"NW_017883428.1 Castor canadensis isolate Ward unplaced genomic scaffold, C.can genome v1.0 scaffold_14102, whole genome shotgun sequence",Castor canadensis (American beaver),51338
CM000369.1,141.4,391674227,391674429,"Monodelphis domestica chromosome 2, whole genome shotgun sequence.",Monodelphis domestica (gray short-tailed opossum),13616
KB199561.1,138.7,2718193,2718405,"KB199561.1 Myotis davidii unplaced genomic scaffold scaffold147, whole genome shotgun sequence",Myotis davidii,225400
KB320472.1,136.8,9280343,9280544,"KB320472.1 Tupaia chinensis unplaced genomic scaffold Scaffold000066_1, whole genome shotgun sequence",Tupaia chinensis (Chinese tree shrew),246437
NW_004444036.1,136.6,2440114,2440311,"NW_004444036.1 Trichechus manatus latirostris isolate Lorelei unplaced genomic scaffold, TriManLat1.0 scaffold00100, whole genome shotgun sequence",Trichechus manatus latirostris,127582
CM009179.1,135.4,14478368,14478565,"CM009179.1 Equus caballus isolate Twilight breed thoroughbred chromosome X, whole genome shotgun sequence",Equus caballus (horse),9796
CM027720.2,135.4,60777320,60777123,"CM027720.2 Equus asinus breed Dezhou chromosome X, whole genome shotgun sequence",Equus asinus (ass),9793
