Representative	Member	RFAM	Organism	Location	Length
vir_ires_00482.1	M14707.1:166-737 Hepatovirus A UNKNOWN-M14707 IRES_HepA Hepatitis A virus (wild-type) RNA, complete genome.	RF00228	Hepatitis A virus (wild-type)		572
AF009606.1:2-354 Hepatitis C virus H77 Isolate Unknown-AF009606 IRES_HCV Hepatitis C virus subtype 1a polyprotein gene, complete cds.	AF009606.1:2-354 Hepatitis C virus H77 Isolate Unknown-AF009606 IRES_HCV Hepatitis C virus subtype 1a polyprotein gene, complete cds.	RF00061	Hepatitis C virus		353
vir_ires_00475.1	vir_ires_00475.1		Hepatitis C virus (HCV)		232
GBV-B|Hepatitis GB virus B	GBV-B|Hepatitis GB virus B		Hepatitis GB virus B		416
vir_ires_00034.1	vir_ires_00034.1		Hepatitis GB virus B (HGBV-B)		174
GBV-C|Hepatitis GB virus C	GBV-C|Hepatitis GB virus C		Hepatitis GB virus C		630
vir_ires_00270.1	vir_ires_00270.1		Himetobi P virus (HiPV)		174
vir_ires_00535.1	vir_ires_00535.1		HIV-1 vector pNL4-3		122
hsa_ires_00598.1|Homo sapiens (human)|chr8:127,736,244-127,736,610+	hsa_ires_00598.1|Homo sapiens (human)|chr8:127,736,244-127,736,610+	RF00216	Homo sapiens (human)	chr8:127,736,244-127,736,610+	367
CM000685.2:38479154-38479285 Homo sapiens IRES_Bag1 Homo sapiens chromosome X, GRCh38 reference primary assembly.	CM000685.2:38479154-38479285 Homo sapiens IRES_Bag1 Homo sapiens chromosome X, GRCh38 reference primary assembly.	RF00222	Homo sapiens (human)		132
CM000666.2:164188235-164188416 Homo sapiens IRES_Bip Homo sapiens chromosome 4, GRCh38 reference primary assembly.	CM000666.2:164188235-164188416 Homo sapiens IRES_Bip Homo sapiens chromosome 4, GRCh38 reference primary assembly.	RF00223	Homo sapiens (human)		182
hsa_ires_00644.1|Homo sapiens (human)|chr4:122,826,845-122,827,009+	hsa_ires_00644.1|Homo sapiens (human)|chr4:122,826,845-122,827,009+	RF00224	Homo sapiens (human)	chr4:122,826,845-122,827,009+	165
hsa_ires_00586.1|Homo sapiens (human)|chr2:15,941,965-15,942,064+	hsa_ires_00586.1|Homo sapiens (human)|chr2:15,941,965-15,942,064+	RF00226	Homo sapiens (human)	chr2:15,941,965-15,942,064+	100
hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-	hsa_ires_00606.1|Homo sapiens (human)|chr1:39,901,435-39,902,015-	RF00261	Homo sapiens (human)	chr1:39,901,435-39,902,015-	217
CM000667.2:142697800-142697634 Homo sapiens IRES_FGF1 Homo sapiens chromosome 5, GRCh38 reference primary assembly.	CM000667.2:142697800-142697634 Homo sapiens IRES_FGF1 Homo sapiens chromosome 5, GRCh38 reference primary assembly.	RF00387	Homo sapiens (human)		167
MNT_75-267|Homo sapiens	CM000679.2:2400912-2400710 Homo sapiens IRES_mnt Homo sapiens chromosome 17, GRCh38 reference primary assembly.	RF00457	Homo sapiens (human)		203
CM001000.3:142214878-142214758 Mus musculus IRES_IGF2 CM001000.3 Mus musculus chromosome 7, GRCm39 reference primary assembly C57BL/6J	CM000673.2:2141059-2140939 Homo sapiens IRES_IGF2 Homo sapiens chromosome 11, GRCh38 reference primary assembly.	RF00483	Homo sapiens (human)		121
mouse_CM000685.2:71223206-71223356 | chrX:100427320-100427468(+) | RF00484 | IRES_Cx32 | internal ribosome entry site (IRES)	CM000685.2:71223206-71223356 Homo sapiens IRES_Cx32 Homo sapiens chromosome X, GRCh38 reference primary assembly.	RF00484	Homo sapiens (human)		151
CM000667.2:109052656-109052458 Homo sapiens IRES_Cx43 Homo sapiens chromosome 5, GRCh38 reference primary assembly.	CM000667.2:109052656-109052458 Homo sapiens IRES_Cx43 Homo sapiens chromosome 5, GRCh38 reference primary assembly.	RF00487	Homo sapiens (human)		199
GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.	hsp70|Homo sapiens	RF00495	Homo sapiens (human)		193
hsa_ires_00639.1|Homo sapiens (human)|chr2:177,264,532-177,264,659-	CM000664.2:177264659-177264532 Homo sapiens NRF2_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.	RF02531	Homo sapiens (human)		128
CM000664.2:10445264-10445145 Homo sapiens ODC_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.	CM000664.2:10445264-10445145 Homo sapiens ODC_IRES Homo sapiens chromosome 2, GRCh38 reference primary assembly.	RF02535	Homo sapiens (human)		120
Apaf-1|Homo sapiens	Apaf-1|Homo sapiens		Homo sapiens (human)		231
AQP4|Homo sapiens	AQP4|Homo sapiens		Homo sapiens (human)		284
AT1R_var1|Homo sapiens	AT1R_var1|Homo sapiens		Homo sapiens (human)		356
AT1R_var2|Homo sapiens	AT1R_var2|Homo sapiens		Homo sapiens (human)		272
AT1R_var3|Homo sapiens	AT1R_var3|Homo sapiens		Homo sapiens (human)		330
BiP_-222_-3|Homo sapiens	CM000671.2:125241341-125241094 Homo sapiens IRES_Bip Homo sapiens chromosome 9, GRCh38 reference primary assembly.		Homo sapiens (human)		248
CCND1|Homo sapiens	CCND1|Homo sapiens		Homo sapiens (human)		209
CM000664.2:15940568-15940760 Homo sapiens IRES_n-myc Homo sapiens chromosome 2, GRCh38 reference primary assembly.	CM000664.2:15940568-15940760 Homo sapiens IRES_n-myc Homo sapiens chromosome 2, GRCh38 reference primary assembly.		Homo sapiens (human)		193
CM000664.2:15941768-15942091 Homo sapiens IRES_n-myc Homo sapiens chromosome 2, GRCh38 reference primary assembly.	CM000664.2:15941768-15942091 Homo sapiens IRES_n-myc Homo sapiens chromosome 2, GRCh38 reference primary assembly.		Homo sapiens (human)		324
CM000666.2:122826680-122827177 Homo sapiens IRES_FGF2 Homo sapiens chromosome 4, GRCh38 reference primary assembly.	CM000666.2:122826680-122827177 Homo sapiens IRES_FGF2 Homo sapiens chromosome 4, GRCh38 reference primary assembly.		Homo sapiens (human)		498
CM000671.2:33264696-33264327 Homo sapiens IRES_Bag1 Homo sapiens chromosome 9, GRCh38 reference primary assembly.	CM000671.2:33264696-33264327 Homo sapiens IRES_Bag1 Homo sapiens chromosome 9, GRCh38 reference primary assembly.		Homo sapiens (human)		370
CM000671.2:84670396-84670748 Homo sapiens IRES_TrkB Homo sapiens chromosome 9, GRCh38 reference primary assembly.	CM000671.2:84670396-84670748 Homo sapiens IRES_TrkB Homo sapiens chromosome 9, GRCh38 reference primary assembly.		Homo sapiens (human)		353
CM000673.2:30012935-30012676 Homo sapiens IRES_Kv1_4 Homo sapiens chromosome 11, GRCh38 reference primary assembly.	CM000673.2:30012935-30012676 Homo sapiens IRES_Kv1_4 Homo sapiens chromosome 11, GRCh38 reference primary assembly.		Homo sapiens (human)		260
CM000676.2:61695528-61695807 Homo sapiens IRES_HIF1 Homo sapiens chromosome 14, GRCh38 reference primary assembly.	CM000676.2:61695528-61695807 Homo sapiens IRES_HIF1 Homo sapiens chromosome 14, GRCh38 reference primary assembly.		Homo sapiens (human)		280
CM000684.2:39244768-39244141 Homo sapiens IRES_c-sis Homo sapiens chromosome 22, GRCh38 reference primary assembly.	CM000684.2:39244768-39244141 Homo sapiens IRES_c-sis Homo sapiens chromosome 22, GRCh38 reference primary assembly.		Homo sapiens (human)		628
DAP5|Homo sapiens	DAP5|Homo sapiens		Homo sapiens (human)		305
eIF4G|Homo sapiens	eIF4G|Homo sapiens		Homo sapiens (human)		357
eIF4GI-ext|Homo sapiens	eIF4GI-ext|Homo sapiens		Homo sapiens (human)		196
eIF4GII|Homo sapiens	eIF4GII|Homo sapiens		Homo sapiens (human)		256
eIF4GII-long|Homo sapiens	eIF4GII-long|Homo sapiens		Homo sapiens (human)		327
ELG1|Homo sapiens	ELG1|Homo sapiens		Homo sapiens (human)		460
ELG1|Homo sapiens	ELG1|Homo sapiens		Homo sapiens (human)		460
FGF1A|Homo sapiens	FGF1A|Homo sapiens		Homo sapiens (human)		434
GL000250.2:3160362-3160579 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.	CM000668.2:31827737-31827954 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6, GRCh38 reference primary assembly.		Homo sapiens (human)		218
GL000255.2:3071369-3071588 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.	GL000250.2:3148163-3148382 Homo sapiens IRES_Hsp70 Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.		Homo sapiens (human)		220
hsa_ires_00000.1|Homo sapiens (human)|chr2:45,602,066-45,611,294-	hsa_ires_00000.1|Homo sapiens (human)|chr2:45,602,066-45,611,294-		Homo sapiens (human)	chr2:45,602,066-45,611,294-	174
hsa_ires_00001.1|Homo sapiens (human)|chr1:70,411,242-70,411,415+	hsa_ires_00001.1|Homo sapiens (human)|chr1:70,411,242-70,411,415+		Homo sapiens (human)	chr1:70,411,242-70,411,415+	174
hsa_ires_00002.1|Homo sapiens (human)|chr4:169,620,906-169,635,928+	hsa_ires_00002.1|Homo sapiens (human)|chr4:169,620,906-169,635,928+		Homo sapiens (human)	chr4:169,620,906-169,635,928+	174
hsa_ires_00003.1|Homo sapiens (human)|chr14:55,008,692-55,010,454-	hsa_ires_00003.1|Homo sapiens (human)|chr14:55,008,692-55,010,454-		Homo sapiens (human)	chr14:55,008,692-55,010,454-	174
hsa_ires_00004.1|Homo sapiens (human)|chr2:210,556,599-210,556,772+	hsa_ires_00004.1|Homo sapiens (human)|chr2:210,556,599-210,556,772+		Homo sapiens (human)	chr2:210,556,599-210,556,772+	174
hsa_ires_00005.1|Homo sapiens (human)|chr5:74,763,743-74,767,087-	hsa_ires_00005.1|Homo sapiens (human)|chr5:74,763,743-74,767,087-		Homo sapiens (human)	chr5:74,763,743-74,767,087-	174
hsa_ires_00006.1|Homo sapiens (human)|chr6:89,829,900-89,853,221+	hsa_ires_00006.1|Homo sapiens (human)|chr6:89,829,900-89,853,221+		Homo sapiens (human)	chr6:89,829,900-89,853,221+	174
hsa_ires_00007.1|Homo sapiens (human)|chr7:32,489,263-32,490,411-	hsa_ires_00007.1|Homo sapiens (human)|chr7:32,489,263-32,490,411-		Homo sapiens (human)	chr7:32,489,263-32,490,411-	174
hsa_ires_00008.1|Homo sapiens (human)|chr19:48,575,741-48,575,914+	hsa_ires_00008.1|Homo sapiens (human)|chr19:48,575,741-48,575,914+		Homo sapiens (human)	chr19:48,575,741-48,575,914+	174
hsa_ires_00009.1|Homo sapiens (human)|chr6:53,070,973-53,073,483+	hsa_ires_00009.1|Homo sapiens (human)|chr6:53,070,973-53,073,483+		Homo sapiens (human)	chr6:53,070,973-53,073,483+	174
hsa_ires_00010.1|Homo sapiens (human)|chr12:57,487,953-57,488,126+	hsa_ires_00010.1|Homo sapiens (human)|chr12:57,487,953-57,488,126+		Homo sapiens (human)	chr12:57,487,953-57,488,126+	174
hsa_ires_00011.1|Homo sapiens (human)|chr7:134,658,556-134,661,507+	hsa_ires_00011.1|Homo sapiens (human)|chr7:134,658,556-134,661,507+		Homo sapiens (human)	chr7:134,658,556-134,661,507+	174
hsa_ires_00012.1|Homo sapiens (human)|chr22:23,691,857-23,692,030+	hsa_ires_00012.1|Homo sapiens (human)|chr22:23,691,857-23,692,030+		Homo sapiens (human)	chr22:23,691,857-23,692,030+	174
hsa_ires_00013.1|Homo sapiens (human)|chrX:73,563,148-73,563,321+	hsa_ires_00013.1|Homo sapiens (human)|chrX:73,563,148-73,563,321+		Homo sapiens (human)	chrX:73,563,148-73,563,321+	174
hsa_ires_00014.1|Homo sapiens (human)|chr10:67,647,514-67,696,168-	hsa_ires_00014.1|Homo sapiens (human)|chr10:67,647,514-67,696,168-		Homo sapiens (human)	chr10:67,647,514-67,696,168-	174
hsa_ires_00015.1|Homo sapiens (human)|chr2:73,829,015-73,830,856+	hsa_ires_00015.1|Homo sapiens (human)|chr2:73,829,015-73,830,856+		Homo sapiens (human)	chr2:73,829,015-73,830,856+	174
hsa_ires_00016.1|Homo sapiens (human)|chr16:1,309,153-1,314,074+	hsa_ires_00016.1|Homo sapiens (human)|chr16:1,309,153-1,314,074+		Homo sapiens (human)	chr16:1,309,153-1,314,074+	174
hsa_ires_00017.1|Homo sapiens (human)|chr11:46,701,094-46,701,524+	hsa_ires_00017.1|Homo sapiens (human)|chr11:46,701,094-46,701,524+		Homo sapiens (human)	chr11:46,701,094-46,701,524+	174
hsa_ires_00018.1|Homo sapiens (human)|chr2:210,476,387-210,476,767-	hsa_ires_00018.1|Homo sapiens (human)|chr2:210,476,387-210,476,767-		Homo sapiens (human)	chr2:210,476,387-210,476,767-	174
hsa_ires_00019.1|Homo sapiens (human)|chr2:233,917,398-233,930,684+	hsa_ires_00019.1|Homo sapiens (human)|chr2:233,917,398-233,930,684+		Homo sapiens (human)	chr2:233,917,398-233,930,684+	174
hsa_ires_00020.1|Homo sapiens (human)|chr1:151,326,180-151,326,353-	hsa_ires_00020.1|Homo sapiens (human)|chr1:151,326,180-151,326,353-		Homo sapiens (human)	chr1:151,326,180-151,326,353-	174
hsa_ires_00021.1|Homo sapiens (human)|chrX:101,616,621-101,617,912-	hsa_ires_00021.1|Homo sapiens (human)|chrX:101,616,621-101,617,912-		Homo sapiens (human)	chrX:101,616,621-101,617,912-	174
hsa_ires_00022.1|Homo sapiens (human)|chr19:579,538-580,433+	hsa_ires_00022.1|Homo sapiens (human)|chr19:579,538-580,433+		Homo sapiens (human)	chr19:579,538-580,433+	174
hsa_ires_00023.1|Homo sapiens (human)|chr14:22,999,024-23,000,999-	hsa_ires_00023.1|Homo sapiens (human)|chr14:22,999,024-23,000,999-		Homo sapiens (human)	chr14:22,999,024-23,000,999-	174
hsa_ires_00024.1|Homo sapiens (human)|chr6:96,563,194-96,603,613+	hsa_ires_00024.1|Homo sapiens (human)|chr6:96,563,194-96,603,613+		Homo sapiens (human)	chr6:96,563,194-96,603,613+	174
hsa_ires_00025.1|Homo sapiens (human)|chr7:22,727,147-22,727,482+	hsa_ires_00025.1|Homo sapiens (human)|chr7:22,727,147-22,727,482+		Homo sapiens (human)	chr7:22,727,147-22,727,482+	174
hsa_ires_00026.1|Homo sapiens (human)|chr2:158,101,890-158,102,063+	hsa_ires_00026.1|Homo sapiens (human)|chr2:158,101,890-158,102,063+		Homo sapiens (human)	chr2:158,101,890-158,102,063+	174
hsa_ires_00027.1|Homo sapiens (human)|chr12:47,879,114-47,899,927-	hsa_ires_00027.1|Homo sapiens (human)|chr12:47,879,114-47,899,927-		Homo sapiens (human)	chr12:47,879,114-47,899,927-	174
hsa_ires_00028.1|Homo sapiens (human)|chr1:151,254,721-151,262,246+	hsa_ires_00028.1|Homo sapiens (human)|chr1:151,254,721-151,262,246+		Homo sapiens (human)	chr1:151,254,721-151,262,246+	174
hsa_ires_00029.1|Homo sapiens (human)|chr19:35,499,993-35,501,911-	hsa_ires_00029.1|Homo sapiens (human)|chr19:35,499,993-35,501,911-		Homo sapiens (human)	chr19:35,499,993-35,501,911-	174
hsa_ires_00030.1|Homo sapiens (human)|chr12:121,011,141-121,016,497-	hsa_ires_00030.1|Homo sapiens (human)|chr12:121,011,141-121,016,497-		Homo sapiens (human)	chr12:121,011,141-121,016,497-	174
hsa_ires_00031.1|Homo sapiens (human)|chr12:27,969,495-27,969,832-	hsa_ires_00031.1|Homo sapiens (human)|chr12:27,969,495-27,969,832-		Homo sapiens (human)	chr12:27,969,495-27,969,832-	174
hsa_ires_00032.1|Homo sapiens (human)|chr2:99,142,294-99,147,467+	hsa_ires_00032.1|Homo sapiens (human)|chr2:99,142,294-99,147,467+		Homo sapiens (human)	chr2:99,142,294-99,147,467+	174
hsa_ires_00033.1|Homo sapiens (human)|chr8:100,948,890-100,950,568-	hsa_ires_00033.1|Homo sapiens (human)|chr8:100,948,890-100,950,568-		Homo sapiens (human)	chr8:100,948,890-100,950,568-	174
hsa_ires_00034.1|Homo sapiens (human)|chr17:7,688,475-7,688,648+	hsa_ires_00034.1|Homo sapiens (human)|chr17:7,688,475-7,688,648+		Homo sapiens (human)	chr17:7,688,475-7,688,648+	174
hsa_ires_00035.1|Homo sapiens (human)|chr14:92,083,197-92,093,275-	hsa_ires_00035.1|Homo sapiens (human)|chr14:92,083,197-92,093,275-		Homo sapiens (human)	chr14:92,083,197-92,093,275-	174
hsa_ires_00036.1|Homo sapiens (human)|chr2:230,910,963-230,925,207-	hsa_ires_00036.1|Homo sapiens (human)|chr2:230,910,963-230,925,207-		Homo sapiens (human)	chr2:230,910,963-230,925,207-	174
hsa_ires_00037.1|Homo sapiens (human)|chr4:176,269,049-176,269,222-	hsa_ires_00037.1|Homo sapiens (human)|chr4:176,269,049-176,269,222-		Homo sapiens (human)	chr4:176,269,049-176,269,222-	174
hsa_ires_00038.1|Homo sapiens (human)|chr11:62,665,706-62,665,879+	hsa_ires_00038.1|Homo sapiens (human)|chr11:62,665,706-62,665,879+		Homo sapiens (human)	chr11:62,665,706-62,665,879+	174
hsa_ires_00039.1|Homo sapiens (human)|chr19:38,871,842-38,876,372-	hsa_ires_00039.1|Homo sapiens (human)|chr19:38,871,842-38,876,372-		Homo sapiens (human)	chr19:38,871,842-38,876,372-	174
hsa_ires_00040.1|Homo sapiens (human)|chr6:4,133,615-4,135,597-	hsa_ires_00040.1|Homo sapiens (human)|chr6:4,133,615-4,135,597-		Homo sapiens (human)	chr6:4,133,615-4,135,597-	174
hsa_ires_00041.1|Homo sapiens (human)|chr17:41,586,722-41,586,895-	hsa_ires_00041.1|Homo sapiens (human)|chr17:41,586,722-41,586,895-		Homo sapiens (human)	chr17:41,586,722-41,586,895-	174
hsa_ires_00042.1|Homo sapiens (human)|chr6:53,655,240-53,665,708-	hsa_ires_00042.1|Homo sapiens (human)|chr6:53,655,240-53,665,708-		Homo sapiens (human)	chr6:53,655,240-53,665,708-	174
hsa_ires_00043.1|Homo sapiens (human)|chr12:56,333,095-56,333,546-	hsa_ires_00043.1|Homo sapiens (human)|chr12:56,333,095-56,333,546-		Homo sapiens (human)	chr12:56,333,095-56,333,546-	174
hsa_ires_00044.1|Homo sapiens (human)|chr19:34,300,300-34,300,473+	hsa_ires_00044.1|Homo sapiens (human)|chr19:34,300,300-34,300,473+		Homo sapiens (human)	chr19:34,300,300-34,300,473+	174
hsa_ires_00045.1|Homo sapiens (human)|chr6:33,321,890-33,323,016-	hsa_ires_00045.1|Homo sapiens (human)|chr6:33,321,890-33,323,016-		Homo sapiens (human)	chr6:33,321,890-33,323,016-	174
hsa_ires_00046.1|Homo sapiens (human)|chr1:88,887,330-88,891,618-	hsa_ires_00046.1|Homo sapiens (human)|chr1:88,887,330-88,891,618-		Homo sapiens (human)	chr1:88,887,330-88,891,618-	174
hsa_ires_00047.1|Homo sapiens (human)|chr1:44,739,818-44,739,991+	hsa_ires_00047.1|Homo sapiens (human)|chr1:44,739,818-44,739,991+		Homo sapiens (human)	chr1:44,739,818-44,739,991+	174
hsa_ires_00048.1|Homo sapiens (human)|chrX:129,906,121-129,907,424+	hsa_ires_00048.1|Homo sapiens (human)|chrX:129,906,121-129,907,424+		Homo sapiens (human)	chrX:129,906,121-129,907,424+	174
hsa_ires_00049.1|Homo sapiens (human)|chr1:204,073,539-204,112,915+	hsa_ires_00049.1|Homo sapiens (human)|chr1:204,073,539-204,112,915+		Homo sapiens (human)	chr1:204,073,539-204,112,915+	174
hsa_ires_00050.1|Homo sapiens (human)|chr19:8,316,611-8,321,396-	hsa_ires_00050.1|Homo sapiens (human)|chr19:8,316,611-8,321,396-		Homo sapiens (human)	chr19:8,316,611-8,321,396-	174
hsa_ires_00051.1|Homo sapiens (human)|chr1:154,272,563-154,272,736+	hsa_ires_00051.1|Homo sapiens (human)|chr1:154,272,563-154,272,736+		Homo sapiens (human)	chr1:154,272,563-154,272,736+	174
hsa_ires_00052.1|Homo sapiens (human)|chr6:139,288,891-139,292,071-	hsa_ires_00052.1|Homo sapiens (human)|chr6:139,288,891-139,292,071-		Homo sapiens (human)	chr6:139,288,891-139,292,071-	174
hsa_ires_00053.1|Homo sapiens (human)|chr9:133,129,228-133,129,401-	hsa_ires_00053.1|Homo sapiens (human)|chr9:133,129,228-133,129,401-		Homo sapiens (human)	chr9:133,129,228-133,129,401-	174
hsa_ires_00054.1|Homo sapiens (human)|chr5:1,201,595-1,201,768+	hsa_ires_00054.1|Homo sapiens (human)|chr5:1,201,595-1,201,768+		Homo sapiens (human)	chr5:1,201,595-1,201,768+	174
hsa_ires_00055.1|Homo sapiens (human)|chr18:58,149,362-58,149,535+	hsa_ires_00055.1|Homo sapiens (human)|chr18:58,149,362-58,149,535+		Homo sapiens (human)	chr18:58,149,362-58,149,535+	174
hsa_ires_00056.1|Homo sapiens (human)|chr1:162,381,730-162,381,903+	hsa_ires_00056.1|Homo sapiens (human)|chr1:162,381,730-162,381,903+		Homo sapiens (human)	chr1:162,381,730-162,381,903+	174
hsa_ires_00057.1|Homo sapiens (human)|chr1:22,052,627-22,078,486+	hsa_ires_00057.1|Homo sapiens (human)|chr1:22,052,627-22,078,486+		Homo sapiens (human)	chr1:22,052,627-22,078,486+	174
hsa_ires_00058.1|Homo sapiens (human)|chr7:99,325,873-99,333,366+	hsa_ires_00058.1|Homo sapiens (human)|chr7:99,325,873-99,333,366+		Homo sapiens (human)	chr7:99,325,873-99,333,366+	174
hsa_ires_00059.1|Homo sapiens (human)|chr12:51,008,605-51,009,270-	hsa_ires_00059.1|Homo sapiens (human)|chr12:51,008,605-51,009,270-		Homo sapiens (human)	chr12:51,008,605-51,009,270-	174
hsa_ires_00060.1|Homo sapiens (human)|chr12:75,508,399-75,511,638-	hsa_ires_00060.1|Homo sapiens (human)|chr12:75,508,399-75,511,638-		Homo sapiens (human)	chr12:75,508,399-75,511,638-	174
hsa_ires_00061.1|Homo sapiens (human)|chr6:44,158,811-44,169,328+	hsa_ires_00061.1|Homo sapiens (human)|chr6:44,158,811-44,169,328+		Homo sapiens (human)	chr6:44,158,811-44,169,328+	174
hsa_ires_00062.1|Homo sapiens (human)|chr9:88,134,812-88,134,985-	hsa_ires_00062.1|Homo sapiens (human)|chr9:88,134,812-88,134,985-		Homo sapiens (human)	chr9:88,134,812-88,134,985-	174
hsa_ires_00063.1|Homo sapiens (human)|chr19:35,907,549-35,908,309-	hsa_ires_00063.1|Homo sapiens (human)|chr19:35,907,549-35,908,309-		Homo sapiens (human)	chr19:35,907,549-35,908,309-	174
hsa_ires_00064.1|Homo sapiens (human)|chr12:48,122,647-48,122,820+	hsa_ires_00064.1|Homo sapiens (human)|chr12:48,122,647-48,122,820+		Homo sapiens (human)	chr12:48,122,647-48,122,820+	174
hsa_ires_00065.1|Homo sapiens (human)|chr16:30,064,353-30,067,254+	hsa_ires_00065.1|Homo sapiens (human)|chr16:30,064,353-30,067,254+		Homo sapiens (human)	chr16:30,064,353-30,067,254+	174
hsa_ires_00066.1|Homo sapiens (human)|chr2:233,388,154-233,388,327+	hsa_ires_00066.1|Homo sapiens (human)|chr2:233,388,154-233,388,327+		Homo sapiens (human)	chr2:233,388,154-233,388,327+	174
hsa_ires_00067.1|Homo sapiens (human)|chr11:2,929,247-2,929,420-	hsa_ires_00067.1|Homo sapiens (human)|chr11:2,929,247-2,929,420-		Homo sapiens (human)	chr11:2,929,247-2,929,420-	174
hsa_ires_00068.1|Homo sapiens (human)|chr7:20,785,763-20,786,822-	hsa_ires_00068.1|Homo sapiens (human)|chr7:20,785,763-20,786,822-		Homo sapiens (human)	chr7:20,785,763-20,786,822-	174
hsa_ires_00069.1|Homo sapiens (human)|chr6:31,655,894-31,656,067+	hsa_ires_00069.1|Homo sapiens (human)|chr6:31,655,894-31,656,067+		Homo sapiens (human)	chr6:31,655,894-31,656,067+	174
hsa_ires_00070.1|Homo sapiens (human)|chr3:138,187,553-138,188,527+	hsa_ires_00070.1|Homo sapiens (human)|chr3:138,187,553-138,188,527+		Homo sapiens (human)	chr3:138,187,553-138,188,527+	174
hsa_ires_00071.1|Homo sapiens (human)|chr1:205,994,136-205,994,309-	hsa_ires_00071.1|Homo sapiens (human)|chr1:205,994,136-205,994,309-		Homo sapiens (human)	chr1:205,994,136-205,994,309-	174
hsa_ires_00072.1|Homo sapiens (human)|chr1:113,953,877-113,954,743+	hsa_ires_00072.1|Homo sapiens (human)|chr1:113,953,877-113,954,743+		Homo sapiens (human)	chr1:113,953,877-113,954,743+	174
hsa_ires_00073.1|Homo sapiens (human)|chr1:155,172,827-155,173,328-	hsa_ires_00073.1|Homo sapiens (human)|chr1:155,172,827-155,173,328-		Homo sapiens (human)	chr1:155,172,827-155,173,328-	174
